1745420226.967219  N:   70, t: 37192640, dt: 18987, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.04, I: -11.47, D:  0.28, VEL_OUT: -20.53, MS_MPC: 27316.77, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.49, gy:  0.09, gz: -0.61, OX:  0.02
1745420226.9731712 N:   71, t: 37212655, dt: 20015, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.20, VEL_AVG:  0.14, I: -11.61, D: -0.11, VEL_OUT: -25.75, MS_MPC: 27323.52, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.92, gy: -0.21, gz: -0.49, OX:  0.01
1745420226.980154  N:   73, t: 37252063, dt: 20336, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.07, I: -11.72, D: -0.03, VEL_OUT: -24.51, MS_MPC: 27316.77, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.85, gy: -0.09, gz: -0.67, OX:  0.00
1745420227.0778913 N:   74, t: 37272154, dt: 20091, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -4.37, VEL_AVG: -0.30, I: -12.02, D: -0.23, VEL_OUT: -29.27, MS_MPC: 27303.26, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.55, gy: -0.09, gz: -1.10, OX: -0.03
1745420227.0838754 N:   75, t: 37292372, dt: 20218, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  4.35, VEL_AVG: -0.16, I: -12.18, D:  0.13, VEL_OUT: -24.68, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.98, gx:  0.12, gy: -0.70, gz: -1.53, OX: -0.00
1745420227.0898604 N:   76, t: 37311348, dt: 18976, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.26, I: -12.44, D: -0.10, VEL_OUT: -28.46, MS_MPC: 27313.40, ax:  0.02, ay:  0.01, az:  0.98, gx:  0.18, gy: -1.01, gz: -1.59, OX: -0.02
1745420227.095843  N:   77, t: 37331663, dt: 20315, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.21, I: -12.66, D:  0.05, VEL_OUT: -26.94, MS_MPC: 27320.15, ax:  0.02, ay:  0.01, az:  0.98, gx:  0.06, gy: -1.43, gz: -1.77, OX: -0.03
1745420227.1018653 N:   79, t: 37371295, dt: 13482, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  1.63, VEL_AVG:  0.19, I: -12.88, D: -0.15, VEL_OUT: -29.17, MS_MPC: 27323.52, ax:  0.02, ay:  0.01, az:  0.98, gx:  0.37, gy: -2.04, gz: -1.77, OX:  0.03
1745420227.138744  N:   80, t: 37392547, dt: 21252, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.07, I: -12.95, D:  0.12, VEL_OUT: -25.45, MS_MPC: 27313.40, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.79, gy: -2.17, gz: -1.65, OX:  0.02
1745420227.1447494 N:   81, t: 37411719, dt: 19172, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.03, I: -12.98, D:  0.04, VEL_OUT: -25.89, MS_MPC: 27320.15, ax:  0.02, ay:  0.02, az:  0.99, gx:  1.22, gy: -2.47, gz: -1.65, OX: -0.02
