1746087626.7518167 N:   67, t: 34570716, dt: 22713, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.02, I: -8.23, D:  0.00, VEL_OUT: -16.70, MS_MPC: 22060.69, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.12, gy: -0.09, gz: -0.18, OX:  0.02
1746087626.7578368 N:   68, t: 34588948, dt: 18232, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.02, I: -8.25, D:  0.01, VEL_OUT: -16.63, MS_MPC: 22055.56, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.06, gy: -0.21, gz: -0.12, OX:  0.00
1746087626.762789  N:   69, t: 34608415, dt: 19467, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.03, I: -8.28, D: -0.01, VEL_OUT: -17.00, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.27, gz:  0.12, OX: -0.02
1746087626.8098266 N:   70, t: 34627498, dt: 19083, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.05, I: -8.33, D: -0.02, VEL_OUT: -17.34, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.34, gz: -0.37, OX: -0.02
1746087626.8347597 N:   71, t: 34647709, dt: 20211, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.04, I: -8.37, D:  0.01, VEL_OUT: -17.08, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.09, gz: -0.43, OX: -0.01
1746087626.836753  N:   72, t: 34667701, dt: 19992, ENC_DEG:  4.68, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.03, I: -8.40, D:  0.01, VEL_OUT: -17.03, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.15, gz: -0.24, OX:  0.03
1746087626.8965914 N:   73, t: 34688659, dt: 20958, ENC_DEG:  4.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -8.44, D:  0.00, VEL_OUT: -17.19, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.03, gz: -0.24, OX:  0.01
1746087626.8975897 N:   74, t: 34708701, dt: 20042, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.22, I: -8.65, D: -0.19, VEL_OUT: -21.37, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy: -0.09, gz: -0.31, OX:  0.01
1746087626.8985865 N:   75, t: 34730363, dt: 21662, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.07, I: -8.72, D:  0.15, VEL_OUT: -16.62, MS_MPC: 22060.69, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.03, gz: -0.85, OX: -0.01
1746087626.9334927 N:   76, t: 34748144, dt: 17781, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  1.24, VEL_AVG:  0.03, I: -8.76, D:  0.03, VEL_OUT: -17.53, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.27, gz: -1.16, OX: -0.04
1746087626.9354885 N:   77, t: 34768369, dt: 20225, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.30, I: -9.06, D: -0.27, VEL_OUT: -23.82, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.15, gz: -0.98, OX: -0.01
1746087626.9504483 N:   78, t: 34788687, dt: 20318, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -3.24, VEL_AVG: -0.16, I: -9.22, D:  0.14, VEL_OUT: -18.57, MS_MPC: 22055.56, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.15, gz: -0.79, OX: -0.01
1746087627.0062973 N:   79, t: 34811193, dt: 22506, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  2.93, VEL_AVG:  0.17, I: -9.38, D: -0.01, VEL_OUT: -20.52, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.21, gz: -0.67, OX:  0.06
1746087627.0072958 N:   80, t: 34827303, dt: 16110, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -4.09, VEL_AVG: -0.07, I: -9.46, D:  0.09, VEL_OUT: -18.72, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.03, gz: -0.98, OX:  0.01
1746087627.0082934 N:   81, t: 34847420, dt: 20117, ENC_DEG:  4.68, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.17, I: -9.63, D: -0.10, VEL_OUT: -21.94, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.27, gz: -1.10, OX:  0.00
1746087627.051826  N:   82, t: 34868409, dt: 20989, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.16, I: -9.79, D:  0.01, VEL_OUT: -21.12, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.21, gz: -1.16, OX: -0.01
1746087627.056812  N:   83, t: 34888718, dt: 20309, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.11, I: -9.90, D:  0.05, VEL_OUT: -20.35, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.34, gz: -1.16, OX:  0.00
1746087627.109562  N:   84, t: 34907014, dt: 18296, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -9.92, D:  0.09, VEL_OUT: -19.09, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.27, gz: -0.79, OX:  0.02
1746087627.1633003 N:   85, t: 34930628, dt: 23614, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.09, I: -10.01, D: -0.08, VEL_OUT: -21.75, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.31, gy: -0.34, gz: -0.98, OX:  0.01
1746087627.169285  N:   86, t: 34948719, dt: 18091, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -2.43, VEL_AVG: -0.20, I: -10.21, D: -0.10, VEL_OUT: -23.46, MS_MPC: 22060.69, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.34, gz: -1.22, OX: -0.00
1746087627.1752684 N:   87, t: 34967006, dt: 18287, ENC_DEG:  4.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -10.33, D:  0.08, VEL_OUT: -20.95, MS_MPC: 22060.69, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.46, gz: -1.34, OX: -0.02
