1746087364.3103287 N:   64, t: 34346323, dt: 18479, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -12.36, D: -0.09, VEL_OUT: -27.06, MS_MPC: 25341.40, ax: -0.00, ay:  0.01, az:  0.99, gx: -1.13, gy: -0.06, gz:  1.01, OX:  0.04
1746087364.316296  N:   65, t: 34362728, dt: 16405, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.34, VEL_AVG:  0.05, I: -12.41, D:  0.10, VEL_OUT: -24.30, MS_MPC: 25345.64, ax: -0.00, ay:  0.01, az:  0.99, gx: -1.19, gy: -0.37, gz:  0.52, OX:  0.01
1746087364.3222497 N:   66, t: 34382978, dt: 20250, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -12.45, D:  0.00, VEL_OUT: -25.36, MS_MPC: 25345.64, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.31, gy: -0.73, gz: -0.15, OX: -0.02
1746087364.364489  N:   67, t: 34404068, dt: 21090, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.45, I: -12.90, D: -0.41, VEL_OUT: -34.40, MS_MPC: 25345.64, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.01, gy: -0.67, gz: -0.70, OX: -0.05
1746087364.370475  N:   68, t: 34424119, dt: 20051, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.00, I: -12.90, D:  0.45, VEL_OUT: -21.28, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.82, gy: -0.73, gz: -1.07, OX: -0.03
1746087364.3764064 N:   69, t: 34447549, dt: 23430, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.25, I: -13.16, D: -0.25, VEL_OUT: -31.37, MS_MPC: 25332.94, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.76, gy: -0.55, gz: -0.70, OX: -0.01
1746087364.4271357 N:   70, t: 34465008, dt: 17459, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  3.78, VEL_AVG:  0.14, I: -13.29, D:  0.12, VEL_OUT: -26.79, MS_MPC: 25345.64, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.27, gy: -0.12, gz: -0.46, OX: -0.00
1746087364.4331138 N:   71, t: 34489186, dt: 24178, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -2.73, VEL_AVG: -0.18, I: -13.48, D: -0.05, VEL_OUT: -29.28, MS_MPC: 25332.94, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.46, gy:  0.18, gz: -0.82, OX:  0.03
1746087364.4381015 N:   72, t: 34504234, dt: 15048, ENC_DEG: 19.95, REF:  0.00, VEL_RAW: -1.46, VEL_AVG: -0.12, I: -13.60, D:  0.07, VEL_OUT: -27.70, MS_MPC: 25328.70, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.70, gy:  0.61, gz: -1.25, OX: -0.00
1746087364.5402741 N:   73, t: 34524493, dt: 20259, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  5.42, VEL_AVG:  0.33, I: -13.93, D: -0.22, VEL_OUT: -33.37, MS_MPC: 25349.87, ax:  0.00, ay:  0.00, az:  1.01, gx:  1.25, gy:  0.73, gz: -1.62, OX: -0.02
1746087364.5472634 N:   74, t: 34546453, dt: 21960, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -14.11, D:  0.15, VEL_OUT: -28.59, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.01, gx:  1.19, gy:  1.16, gz: -1.13, OX: -0.01
1746087364.6052039 N:   75, t: 34562496, dt: 16043, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -4.11, VEL_AVG: -0.06, I: -14.18, D:  0.12, VEL_OUT: -27.72, MS_MPC: 25337.17, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.82, gy:  1.77, gz: -0.70, OX: -0.02
1746087364.6101875 N:   76, t: 34583619, dt: 21123, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.11, I: -14.29, D: -0.05, VEL_OUT: -30.22, MS_MPC: 25345.64, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.70, gy:  1.95, gz:  0.40, OX:  0.08
1746087364.6161773 N:   79, t: 34644596, dt: 21033, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -4.18, VEL_AVG: -0.16, I: -14.73, D:  0.02, VEL_OUT: -30.88, MS_MPC: 25337.17, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.21, gy:  1.46, gz: -0.21, OX:  0.00
1746087364.621164  N:   80, t: 34664254, dt: 19658, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  3.35, VEL_AVG:  0.21, I: -14.93, D: -0.04, VEL_OUT: -32.37, MS_MPC: 25349.87, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.76, gy:  0.79, gz: -0.70, OX: -0.08
1746087364.6271467 N:   82, t: 34706562, dt: 23323, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.16, I: -15.17, D: -0.09, VEL_OUT: -32.84, MS_MPC: 25341.40, ax:  0.00, ay:  0.01, az:  0.99, gx: -1.01, gy: -0.67, gz: -1.25, OX:  0.01
1746087364.665163  N:   83, t: 34727663, dt: 21101, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.02, I: -15.19, D:  0.14, VEL_OUT: -29.19, MS_MPC: 25337.17, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.64, gy: -0.92, gz: -2.11, OX: -0.13
1746087364.672105  N:   84, t: 34745901, dt: 18238, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -15.29, D: -0.08, VEL_OUT: -32.37, MS_MPC: 25337.17, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.34, gy: -1.10, gz: -2.72, OX: -0.17
1746087364.7813685 N:   85, t: 34763243, dt: 17342, ENC_DEG: 19.95, REF:  0.00, VEL_RAW: -2.53, VEL_AVG: -0.56, I: -15.85, D: -0.46, VEL_OUT: -41.97, MS_MPC: 25328.70, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.21, gy: -0.67, gz: -2.11, OX:  0.01
