1746087990.3058517 N:   67, t: 29027538, dt: 19035, ENC_DEG: 48.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -26.57, D:  0.00, VEL_OUT: -54.49, MS_MPC: 29271.93, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.40, gy: -0.34, gz: -0.21, OX:  0.03
1746087990.354625  N:   68, t: 29048843, dt: 21305, ENC_DEG: 48.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -26.60, D:  0.11, VEL_OUT: -52.39, MS_MPC: 29271.93, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.46, gy: -0.40, gz: -0.21, OX: -0.00
1746087990.360614  N:   69, t: 29069032, dt: 20189, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.30, I: -26.90, D: -0.27, VEL_OUT: -59.53, MS_MPC: 29275.01, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.09, gy: -0.58, gz: -0.15, OX:  0.00
1746087990.366591  N:   70, t: 29088247, dt: 19215, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.00, I: -26.90, D:  0.30, VEL_OUT: -50.84, MS_MPC: 29273.47, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.15, gy: -0.64, gz: -0.27, OX: -0.02
1746087990.472192  N:   71, t: 29113718, dt: 25471, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.86, VEL_AVG:  0.16, I: -27.06, D: -0.16, VEL_OUT: -57.35, MS_MPC: 29275.01, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.27, gy: -0.64, gz: -0.09, OX:  0.01
1746087990.4788446 N:   72, t: 29129007, dt: 15289, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.44, VEL_AVG: -0.04, I: -27.11, D:  0.12, VEL_OUT: -53.47, MS_MPC: 29273.47, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.15, gy: -0.58, gz: -0.64, OX: -0.02
1746087990.484829  N:   73, t: 29147324, dt: 18317, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -2.40, VEL_AVG: -0.34, I: -27.45, D: -0.30, VEL_OUT: -61.24, MS_MPC: 29270.39, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.27, gy: -0.70, gz: -0.46, OX: -0.02
1746087990.4908133 N:   74, t: 29169777, dt: 22453, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  2.94, VEL_AVG: -0.19, I: -27.64, D:  0.15, VEL_OUT: -55.68, MS_MPC: 29275.01, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.46, gy: -0.82, gz: -0.64, OX: -0.02
1746087990.4958005 N:   76, t: 29207769, dt: 19042, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.00, I: -27.73, D:  0.10, VEL_OUT: -54.51, MS_MPC: 29273.47, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.27, gy: -0.76, gz: -0.21, OX:  0.03
1746087990.502783  N:   77, t: 29230562, dt: 22793, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.96, VEL_AVG: -0.02, I: -27.75, D: -0.02, VEL_OUT: -55.88, MS_MPC: 29275.01, ax:  0.02, ay:  0.01, az:  1.01, gx:  0.58, gy: -0.89, gz: -0.34, OX: -0.13
