1746087205.5022767 N:   50, t: 80466210, dt: 15529, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.42, VEL_AVG:  0.16, I: -7.97, D: -0.09, VEL_OUT: -18.36, MS_MPC: 25192.38, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.09, gy: -0.12, gz:  0.18, OX:  0.01
1746087205.5431232 N:   51, t: 80485823, dt: 19613, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -8.12, D: -0.00, VEL_OUT: -17.83, MS_MPC: 25192.38, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.27, gy:  0.06, gz:  0.00, OX:  0.03
1746087205.600809  N:   52, t: 80512065, dt: 26242, ENC_DEG: 19.23, REF:  0.00, VEL_RAW: -0.84, VEL_AVG: -0.01, I: -8.13, D:  0.15, VEL_OUT: -14.90, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.52, gy:  0.12, gz: -0.79, OX: -0.01
1746087205.6064565 N:   53, t: 80526250, dt: 14185, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.55, VEL_AVG:  0.12, I: -8.25, D: -0.11, VEL_OUT: -18.78, MS_MPC: 25192.38, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.64, gy: -0.06, gz: -0.79, OX: -0.02
1746087205.6114826 N:   54, t: 80548403, dt: 22153, ENC_DEG: 19.23, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.06, I: -8.31, D:  0.06, VEL_OUT: -16.65, MS_MPC: 25188.09, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.58, gy:  0.06, gz:  0.00, OX: -0.01
1746087205.6176271 N:   55, t: 80567387, dt: 18984, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.06, I: -8.37, D:  0.00, VEL_OUT: -17.27, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.46, gy:  0.31, gz:  0.12, OX:  0.01
1746087205.623466  N:   56, t: 80587063, dt: 19676, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.33, I: -8.71, D: -0.28, VEL_OUT: -23.54, MS_MPC: 25179.52, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.09, gy:  0.00, gz:  0.00, OX: -0.00
1746087205.663711  N:   57, t: 80611122, dt: 24059, ENC_DEG: 19.27, REF:  0.00, VEL_RAW:  3.65, VEL_AVG: -0.10, I: -8.81, D:  0.23, VEL_OUT: -16.33, MS_MPC: 25196.66, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.06, gz: -0.12, OX:  0.02
1746087205.7209373 N:   58, t: 80627174, dt: 16052, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -5.48, VEL_AVG:  0.01, I: -8.82, D:  0.09, VEL_OUT: -16.86, MS_MPC: 25179.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.24, gz: -0.24, OX: -0.01
1746087205.7263153 N:   59, t: 80647697, dt: 20523, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  3.21, VEL_AVG:  0.10, I: -8.92, D: -0.08, VEL_OUT: -19.63, MS_MPC: 25192.38, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.21, gy:  0.18, gz:  0.18, OX: -0.02
1746087205.732286  N:   60, t: 80671976, dt: 24279, ENC_DEG: 19.27, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.17, I: -9.09, D: -0.08, VEL_OUT: -20.64, MS_MPC: 25196.66, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.09, gy:  0.31, gz:  0.43, OX:  0.00
1746087205.7841244 N:   61, t: 80690131, dt: 18155, ENC_DEG: 19.25, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.00, I: -9.09, D:  0.17, VEL_OUT: -16.56, MS_MPC: 25192.38, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.09, gy:  0.12, gz:  0.73, OX: -0.04
1746087205.842149  N:   62, t: 80706850, dt: 16719, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -2.63, VEL_AVG: -0.34, I: -9.43, D: -0.34, VEL_OUT: -25.65, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.03, gy: -0.06, gz:  0.98, OX:  0.02
1746087205.8480077 N:   63, t: 80726103, dt: 19253, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.44, I: -9.87, D: -0.10, VEL_OUT: -25.06, MS_MPC: 25179.52, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.34, gy: -0.18, gz:  1.10, OX:  0.02
1746087205.8540764 N:   64, t: 80751165, dt: 25062, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  2.63, VEL_AVG: -0.15, I: -10.02, D:  0.29, VEL_OUT: -18.62, MS_MPC: 25192.38, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.76, gy: -0.12, gz:  1.28, OX:  0.04
1746087205.8997252 N:   65, t: 80767010, dt: 15845, ENC_DEG: 19.16, REF:  0.00, VEL_RAW: -5.55, VEL_AVG: -0.74, I: -10.76, D: -0.59, VEL_OUT: -34.82, MS_MPC: 25175.23, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.89, gy: -0.43, gz:  0.98, OX:  0.04
1746087205.960248  N:   68, t: 80826393, dt: 15173, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -2.90, VEL_AVG: -0.30, I: -11.38, D: -0.15, VEL_OUT: -27.25, MS_MPC: 25183.81, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.09, gy: -0.49, gz: -0.55, OX: -0.01
1746087205.9662347 N:   69, t: 80845823, dt: 19430, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.51, I: -11.89, D: -0.21, VEL_OUT: -30.99, MS_MPC: 25188.09, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.61, gz: -1.10, OX: -0.04
1746087205.9733062 N:   70, t: 80872168, dt: 26345, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -11.95, D:  0.46, VEL_OUT: -19.87, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.64, gy: -0.43, gz: -0.98, OX: -0.00
1746087205.9782922 N:   71, t: 80889401, dt: 17233, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.43, I: -12.38, D: -0.37, VEL_OUT: -32.77, MS_MPC: 25183.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.01, gy: -0.31, gz: -0.67, OX:  0.01
1746087205.9851055 N:   74, t: 80946124, dt: 14437, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  3.04, VEL_AVG:  0.07, I: -13.35, D:  0.33, VEL_OUT: -24.09, MS_MPC: 25192.38, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.40, gy: -0.18, gz: -0.61, OX: -0.01
1746087206.0801654 N:   75, t: 80965901, dt: 19777, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -13.52, D: -0.10, VEL_OUT: -29.64, MS_MPC: 25192.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.06, gz: -0.49, OX: -0.05
1746087206.087193  N:   76, t: 80988162, dt: 22261, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.97, VEL_AVG: -0.22, I: -13.74, D: -0.05, VEL_OUT: -30.18, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.21, gy:  0.24, gz: -0.31, OX:  0.01
1746087206.0921774 N:   77, t: 81007388, dt: 19226, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -13.98, D: -0.03, VEL_OUT: -30.66, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.34, gy:  0.06, gz: -0.18, OX: -0.00
