1746027587.8627415 N:   84, t: 43322051, dt: 17136, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.40, I: -28.53, D: -0.20, VEL_OUT: -63.08, MS_MPC: 21993.95, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.31, gy: -1.98, gz: -2.08, OX: -0.03
1746027587.8697224 N:   86, t: 43420589, dt: 19183, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.20, I: -29.04, D:  0.10, VEL_OUT: -59.06, MS_MPC: 22004.22, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.95, gy:  0.52, gz:  0.24, OX: -0.01
1746027587.9116096 N:   87, t: 43580955, dt: 160366, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -29.24, D:  0.00, VEL_OUT: -60.50, MS_MPC: 22004.22, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.09, gy:  0.76, gz:  0.85, OX:  0.01
1746027587.9166205 N:   88, t: 43605264, dt: 24309, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.81, VEL_AVG: -0.03, I: -29.27, D:  0.17, VEL_OUT: -57.16, MS_MPC: 21993.95, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.40, gy:  0.70, gz:  0.73, OX:  0.01
1746027587.923578  N:   89, t: 43622425, dt: 17161, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.05, I: -29.33, D: -0.02, VEL_OUT: -59.36, MS_MPC: 21999.09, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.27, gy:  0.34, gz:  0.24, OX:  0.02
1746027587.9714508 N:   90, t: 43640235, dt: 17810, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  1.23, VEL_AVG:  0.05, I: -29.38, D: -0.00, VEL_OUT: -59.28, MS_MPC: 22004.22, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.27, gy: -0.27, gz: -0.43, OX: -0.04
1746027587.9774346 N:   91, t: 43660821, dt: 20586, ENC_DEG:  4.46, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.14, I: -29.52, D: -0.09, VEL_OUT: -61.33, MS_MPC: 22009.37, ax: -0.01, ay:  0.01, az:  1.01, gx:  0.09, gy: -0.89, gz: -0.79, OX: -0.01
1746027587.9834325 N:   92, t: 43680922, dt: 20101, ENC_DEG:  4.42, REF:  0.00, VEL_RAW: -2.19, VEL_AVG:  0.26, I: -29.78, D: -0.12, VEL_OUT: -63.34, MS_MPC: 21999.09, ax: -0.01, ay:  0.01, az:  1.01, gx: -0.27, gy: -0.95, gz: -0.79, OX:  0.02
1746027588.0312905 N:   93, t: 43699584, dt: 18662, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -29.84, D:  0.20, VEL_OUT: -58.30, MS_MPC: 21999.09, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.27, gy: -0.76, gz: -1.28, OX: -0.02
1746027588.0372741 N:   94, t: 43719856, dt: 20272, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -29.96, D: -0.06, VEL_OUT: -61.82, MS_MPC: 21999.09, ax: -0.01, ay:  0.00, az:  0.99, gx: -0.40, gy: -1.13, gz: -1.53, OX: -0.01
