1746027465.5684896 N:   85, t: 31847069, dt: 26113, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.52, VEL_AVG:  0.24, I: -23.46, D: -0.08, VEL_OUT: -50.12, MS_MPC: 22045.30, ax:  0.01, ay:  0.02, az:  0.99, gx:  1.25, gy: -0.58, gz: -0.55, OX:  0.04
1746027465.5744748 N:   88, t: 31903189, dt: 22798, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -24.10, D:  0.08, VEL_OUT: -48.03, MS_MPC: 22035.04, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.82, gy: -0.52, gz: -0.61, OX: -0.09
1746027465.5804691 N:   89, t: 31920666, dt: 17477, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.04, I: -24.14, D:  0.02, VEL_OUT: -48.42, MS_MPC: 22040.17, ax:  0.02, ay:  0.01, az:  1.01, gx:  0.34, gy: -0.21, gz:  0.43, OX: -0.02
1746027465.586442  N:   91, t: 31960786, dt: 19158, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -24.32, D:  0.16, VEL_OUT: -47.17, MS_MPC: 22040.17, ax:  0.02, ay:  0.03, az:  0.99, gx: -0.46, gy:  0.03, gz:  0.67, OX: -0.00
1746027465.5924249 N:   94, t: 32021621, dt: 20267, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.41, I: -25.25, D: -0.08, VEL_OUT: -55.37, MS_MPC: 22035.04, ax:  0.01, ay:  0.03, az:  1.00, gx: -0.70, gy:  0.40, gz:  1.10, OX:  0.11
1746027465.685207  N:   95, t: 32041968, dt: 20347, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.49, I: -25.74, D: -0.08, VEL_OUT: -57.14, MS_MPC: 22024.77, ax:  0.01, ay:  0.03, az:  1.00, gx: -0.40, gy:  0.76, gz:  0.49, OX: -0.05
1746027465.7490087 N:   96, t: 32060195, dt: 18227, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  2.41, VEL_AVG: -0.10, I: -25.84, D:  0.38, VEL_OUT: -48.87, MS_MPC: 22035.04, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.09, gy:  0.46, gz:  0.24, OX: -0.08
1746027465.7549922 N:   97, t: 32084452, dt: 24257, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.31, I: -26.15, D: -0.21, VEL_OUT: -57.54, MS_MPC: 22035.04, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.03, gy:  0.95, gz:  0.67, OX: -0.02
1746027465.7609756 N:   98, t: 32101637, dt: 17185, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.21, I: -26.37, D:  0.10, VEL_OUT: -53.83, MS_MPC: 22040.17, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.40, gy:  1.31, gz:  1.83, OX:  0.02
1746027465.7669594 N:  100, t: 32146854, dt: 26302, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -0.84, VEL_AVG:  0.05, I: -26.54, D:  0.07, VEL_OUT: -52.89, MS_MPC: 22035.04, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.27, gy:  0.95, gz:  0.92, OX: -0.06
