1746089639.5501652 N:   58, t: 30670707, dt: 19302, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -3.42, VEL_AVG: -0.00, I: -12.21, D:  0.49, VEL_OUT: -19.58, MS_MPC: 26884.18, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.09, OX:  0.00
1746089639.597489  N:   59, t: 30689720, dt: 19013, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.31, VEL_AVG:  0.19, I: -12.40, D: -0.18, VEL_OUT: -28.53, MS_MPC: 26891.38, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.09, OX:  0.01
1746089639.604014  N:   60, t: 30715042, dt: 25322, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.35, I: -12.75, D: -0.16, VEL_OUT: -30.67, MS_MPC: 26887.78, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.24, gz:  0.03, OX:  0.00
1746089639.6546896 N:   61, t: 30730436, dt: 15394, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.17, I: -12.92, D:  0.18, VEL_OUT: -25.69, MS_MPC: 26894.98, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.18, gz:  0.34, OX:  0.01
1746089639.6606963 N:   62, t: 30751408, dt: 20972, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.19, I: -13.11, D: -0.02, VEL_OUT: -28.33, MS_MPC: 26887.78, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.15, OX: -0.02
1746089639.6666913 N:   63, t: 30775070, dt: 23662, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.53, I: -13.64, D: -0.34, VEL_OUT: -36.06, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.12, gz:  0.03, OX: -0.02
1746089639.6736784 N:   64, t: 30793420, dt: 18350, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.35, I: -13.99, D:  0.19, VEL_OUT: -29.56, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.00, gz: -0.21, OX:  0.01
1746089639.7749228 N:   65, t: 30810426, dt: 17006, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -14.26, D:  0.08, VEL_OUT: -30.42, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.24, gz:  0.09, OX:  0.00
1746089639.7807715 N:   66, t: 30832666, dt: 22240, ENC_DEG: 28.63, REF:  0.00, VEL_RAW: -2.96, VEL_AVG:  0.12, I: -14.38, D:  0.15, VEL_OUT: -28.50, MS_MPC: 26880.58, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.18, gz:  0.03, OX: -0.00
1746089639.787064  N:   67, t: 30851091, dt: 18425, ENC_DEG: 28.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -14.56, D: -0.06, VEL_OUT: -31.55, MS_MPC: 26880.58, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.03, OX:  0.01
