1746005245.984666  N:   69, t: 54745299, dt: 19331, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.17, I: -9.02, D: -0.09, VEL_OUT: -20.69, MS_MPC: 25699.88, ax:  0.01, ay: -0.00, az:  1.03, gx: -0.85, gy: -1.46, gz: -0.55, OX:  0.03
1746005245.9906836 N:   70, t: 54764344, dt: 19045, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.02, I: -9.04, D:  0.16, VEL_OUT: -16.67, MS_MPC: 25695.77, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.98, gy: -1.34, gz: -0.43, OX:  0.03
1746005245.9971647 N:   71, t: 54784454, dt: 20110, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.30, I: -9.34, D: -0.28, VEL_OUT: -24.49, MS_MPC: 25699.88, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.85, gy: -1.59, gz: -0.67, OX: -0.02
1746005246.0366862 N:   72, t: 54804649, dt: 20195, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.00, I: -9.34, D:  0.30, VEL_OUT: -15.75, MS_MPC: 25695.77, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.61, gy: -1.46, gz: -0.43, OX: -0.02
1746005246.097036  N:   73, t: 54824998, dt: 20349, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.01, I: -9.35, D: -0.01, VEL_OUT: -18.85, MS_MPC: 25699.88, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy: -1.22, gz:  0.06, OX: -0.00
1746005246.1040165 N:   74, t: 54844663, dt: 19665, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.10, I: -9.45, D: -0.09, VEL_OUT: -20.85, MS_MPC: 25695.77, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.18, gy: -0.98, gz:  0.73, OX:  0.01
1746005246.1533377 N:   75, t: 54864968, dt: 20305, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.17, I: -9.62, D: -0.07, VEL_OUT: -21.71, MS_MPC: 25703.98, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.12, gy: -0.55, gz:  1.22, OX:  0.03
1746005246.2161121 N:   76, t: 54884131, dt: 19163, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -9.75, D:  0.04, VEL_OUT: -20.38, MS_MPC: 25703.98, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.31, gy: -0.24, gz:  1.22, OX:  0.02
1746005246.222991  N:   77, t: 54908573, dt: 24442, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.11, I: -9.87, D:  0.02, VEL_OUT: -20.69, MS_MPC: 25699.88, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.61, gy:  0.61, gz:  1.40, OX:  0.00
1746005246.2289402 N:   78, t: 54927866, dt: 19293, ENC_DEG: 21.95, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.16, I: -10.03, D: -0.05, VEL_OUT: -22.19, MS_MPC: 25708.08, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.55, gz:  1.59, OX:  0.04
