1746004861.4303646 N:   53, t: 45347349, dt: 19268, ENC_DEG: 53.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -9.58, D:  0.14, VEL_OUT: -17.91, MS_MPC: 29560.93, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.37, gy:  0.31, gz: -0.31, OX: -0.03
1746004861.436349  N:   54, t: 45372654, dt: 25305, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.74, VEL_AVG:  0.08, I: -9.66, D: -0.06, VEL_OUT: -20.73, MS_MPC: 29562.28, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.31, OX: -0.03
1746004861.4423327 N:   55, t: 45386525, dt: 13871, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -1.58, VEL_AVG: -0.17, I: -9.83, D: -0.09, VEL_OUT: -22.26, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.12, OX:  0.01
1746004861.4483154 N:   56, t: 45409949, dt: 23424, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -9.90, D:  0.10, VEL_OUT: -19.46, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.24, gz: -0.31, OX: -0.00
1746004861.491204  N:   57, t: 45427174, dt: 17225, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -10.05, D: -0.09, VEL_OUT: -22.60, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz: -0.24, OX:  0.04
1746004861.5460544 N:   58, t: 45447417, dt: 20243, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -10.21, D:  0.00, VEL_OUT: -22.01, MS_MPC: 29561.61, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.06, gz: -0.37, OX: -0.08
1746004861.5520387 N:   59, t: 45467695, dt: 20278, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -10.28, D:  0.09, VEL_OUT: -20.23, MS_MPC: 29561.61, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.31, gz: -0.43, OX:  0.03
1746004861.5580223 N:   60, t: 45488261, dt: 20566, ENC_DEG: 54.05, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.11, I: -10.39, D: -0.05, VEL_OUT: -22.45, MS_MPC: 29562.94, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.49, gy: -0.06, gz: -0.49, OX:  0.01
1746004861.5640075 N:   61, t: 45506436, dt: 18175, ENC_DEG: 54.03, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.01, I: -10.41, D:  0.10, VEL_OUT: -19.94, MS_MPC: 29562.28, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.55, gy:  0.06, gz: -0.37, OX: -0.03
1746004861.5699904 N:   62, t: 45526822, dt: 20386, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.00, I: -10.41, D:  0.01, VEL_OUT: -20.69, MS_MPC: 29563.60, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.00, gz: -0.18, OX: -0.01
1746004861.610882  N:   63, t: 45549722, dt: 22900, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -3.83, VEL_AVG: -0.05, I: -10.46, D: -0.05, VEL_OUT: -21.90, MS_MPC: 29560.93, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.37, gz:  0.18, OX: -0.01
1746004861.666635  N:   64, t: 45565882, dt: 16160, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.06, I: -10.52, D: -0.01, VEL_OUT: -21.81, MS_MPC: 29561.61, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy:  0.55, gz:  0.61, OX:  0.02
1746004861.672605  N:   65, t: 45587137, dt: 21255, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -10.58, D:  0.00, VEL_OUT: -21.80, MS_MPC: 29561.61, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy:  0.49, gz:  0.85, OX:  0.01
1746004861.6785893 N:   66, t: 45606206, dt: 19069, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.01, I: -10.60, D:  0.05, VEL_OUT: -20.86, MS_MPC: 29562.28, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.18, gy:  0.24, gz:  0.73, OX:  0.03
1746004861.6865683 N:   67, t: 45626378, dt: 20172, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.03, I: -10.63, D: -0.02, VEL_OUT: -21.81, MS_MPC: 29560.93, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.31, gy:  0.31, gz:  1.10, OX:  0.01
1746004861.6925514 N:   68, t: 45646672, dt: 20294, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.15, I: -10.78, D: -0.11, VEL_OUT: -24.13, MS_MPC: 29562.28, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.37, gz:  1.10, OX:  0.00
1746004861.7313335 N:   69, t: 45667520, dt: 20848, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -10.92, D:  0.00, VEL_OUT: -23.31, MS_MPC: 29562.28, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.18, gz:  1.34, OX:  0.08
1746004861.7898395 N:   70, t: 45686022, dt: 18502, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -2.38, VEL_AVG: -0.05, I: -10.98, D:  0.09, VEL_OUT: -21.54, MS_MPC: 29560.93, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.61, gy:  0.06, gz:  0.92, OX: -0.04
1746004861.8468544 N:   71, t: 45707414, dt: 21392, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.12, I: -11.10, D: -0.07, VEL_OUT: -24.05, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.67, gy: -0.12, gz:  0.24, OX:  0.00
1746004861.9066718 N:   72, t: 45726345, dt: 18931, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.13, I: -11.23, D: -0.02, VEL_OUT: -23.96, MS_MPC: 29563.60, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.18, gz: -0.24, OX: -0.01
1746004861.9126556 N:   73, t: 45746697, dt: 20352, ENC_DEG: 54.03, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.06, I: -11.29, D:  0.08, VEL_OUT: -22.33, MS_MPC: 29562.28, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.61, gz: -0.55, OX: -0.04
1746004861.9195938 N:   74, t: 45766035, dt: 19338, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.07, I: -11.35, D: -0.01, VEL_OUT: -23.45, MS_MPC: 29563.60, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.55, gy: -0.61, gz: -0.61, OX: -0.01
1746004861.925582  N:   77, t: 45829570, dt: 23701, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -3.71, VEL_AVG:  0.06, I: -12.08, D:  0.31, VEL_OUT: -21.72, MS_MPC: 29561.61, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.18, gz:  0.24, OX:  0.02
1746004861.9305725 N:   80, t: 45887041, dt: 15232, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -12.33, D:  0.17, VEL_OUT: -23.02, MS_MPC: 29561.61, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.12, gz: -0.31, OX: -0.00
1746004862.0275006 N:   81, t: 45907668, dt: 20627, ENC_DEG: 54.05, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.17, I: -12.51, D: -0.17, VEL_OUT: -28.40, MS_MPC: 29562.94, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.06, gz: -0.31, OX: -0.02
1746004862.0332105 N:   82, t: 45930028, dt: 22360, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -1.97, VEL_AVG:  0.21, I: -12.71, D: -0.03, VEL_OUT: -27.83, MS_MPC: 29561.61, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.49, gy:  0.00, gz: -0.67, OX:  0.01
1746004862.0391943 N:   83, t: 45948323, dt: 18295, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -2.40, VEL_AVG: -0.17, I: -12.88, D:  0.04, VEL_OUT: -26.99, MS_MPC: 29560.25, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.37, gz: -0.49, OX:  0.08
1746004862.0451784 N:   84, t: 45967465, dt: 19142, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  2.30, VEL_AVG: -0.17, I: -13.04, D: -0.00, VEL_OUT: -27.78, MS_MPC: 29561.61, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.12, gz: -0.49, OX:  0.02
1746004862.1480856 N:   86, t: 46007942, dt: 22011, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  1.00, VEL_AVG: -0.19, I: -13.32, D: -0.11, VEL_OUT: -29.63, MS_MPC: 29561.61, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.49, gy:  0.06, gz: -0.98, OX:  0.00
1746004862.1531167 N:   87, t: 46026722, dt: 18780, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.20, I: -13.52, D: -0.01, VEL_OUT: -29.15, MS_MPC: 29560.93, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy:  0.00, gz: -0.43, OX: -0.01
1746004862.1600542 N:   88, t: 46046170, dt: 19448, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  4.52, VEL_AVG: -0.02, I: -13.54, D:  0.19, VEL_OUT: -25.38, MS_MPC: 29563.60, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.12, gz:  0.00, OX:  0.05
1746004862.1650484 N:   89, t: 46067450, dt: 21280, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -5.16, VEL_AVG: -0.14, I: -13.68, D: -0.12, VEL_OUT: -29.93, MS_MPC: 29560.25, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.06, gz: -0.18, OX: -0.02
1746004862.1720266 N:   92, t: 46126231, dt: 19281, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.12, I: -13.96, D: -0.09, VEL_OUT: -30.06, MS_MPC: 29562.28, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.06, gz:  0.00, OX:  0.01
1746004862.2107844 N:   93, t: 46146416, dt: 20185, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -14.02, D:  0.06, VEL_OUT: -28.04, MS_MPC: 29562.28, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.55, gy: -0.12, gz: -0.12, OX:  0.00
