1746520300.4873207 N:   78, t: 88990429, dt: 26320, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.83, VEL_AVG:  0.04, I: -11.01, D: -0.02, VEL_OUT: -22.58, MS_MPC: 23769.47, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.21, gz:  0.24, OX:  0.04
1746520300.545279  N:   79, t: 89004973, dt: 14544, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -1.51, VEL_AVG:  0.09, I: -11.09, D: -0.04, VEL_OUT: -23.48, MS_MPC: 23764.76, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.09, gz:  0.61, OX:  0.01
1746520300.5513005 N:   80, t: 89030198, dt: 25225, ENC_DEG: 12.28, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.31, I: -11.41, D: -0.23, VEL_OUT: -28.23, MS_MPC: 23764.76, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.03, gz:  0.73, OX: -0.01
1746520300.5574026 N:   81, t: 89048436, dt: 18238, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.20, VEL_AVG: -0.12, I: -11.53, D:  0.19, VEL_OUT: -22.40, MS_MPC: 23769.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.09, gz:  0.98, OX:  0.05
1746520300.563385  N:   85, t: 89127728, dt: 22883, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.92, VEL_AVG:  0.05, I: -12.06, D:  0.15, VEL_OUT: -23.06, MS_MPC: 23774.19, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.67, gy: -0.34, gz: -0.06, OX:  0.01
1746520300.569367  N:   88, t: 89184864, dt: 19910, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.13, I: -12.49, D: -0.07, VEL_OUT: -26.91, MS_MPC: 23769.47, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.49, gy: -0.27, gz: -0.37, OX: -0.03
1746520300.6099648 N:   89, t: 89204486, dt: 19622, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.15, I: -12.64, D: -0.02, VEL_OUT: -26.97, MS_MPC: 23774.19, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.03, gz: -0.06, OX:  0.04
1746520300.7280235 N:   90, t: 89225494, dt: 21008, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -12.72, D:  0.07, VEL_OUT: -25.52, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy: -0.09, gz: -0.24, OX:  0.02
1746520300.7340455 N:   91, t: 89246055, dt: 20561, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.11, I: -12.83, D: -0.04, VEL_OUT: -27.17, MS_MPC: 23769.47, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.06, gy: -0.40, gz: -1.16, OX: -0.06
1746520300.7412758 N:   92, t: 89265267, dt: 19212, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.30, I: -13.14, D: -0.19, VEL_OUT: -31.23, MS_MPC: 23778.90, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.64, gz: -0.98, OX: -0.10
1746520300.8451579 N:   94, t: 89305256, dt: 19528, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -13.37, D:  0.00, VEL_OUT: -27.89, MS_MPC: 23774.19, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.24, gy: -0.34, gz:  0.06, OX:  0.03
1746520300.9112046 N:   97, t: 89368621, dt: 23256, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.04, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.9161906 N:   98, t: 89371483, dt: 2862, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -7.68, VEL_AVG: -0.88, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.922175  N:  102, t: 89388056, dt: 2739, ENC_DEG: 12.17, REF:  0.00, VEL_RAW: -24.07, VEL_AVG: -1.72, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.9281583 N:  104, t: 89487396, dt: 2751, ENC_DEG: 10.53, REF:  0.00, VEL_RAW: -15.97, VEL_AVG: -4.53, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.934143  N:  105, t: 89539968, dt: 52572, ENC_DEG:  9.52, REF:  0.00, VEL_RAW: -19.23, VEL_AVG: -6.05, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.9401255 N:  106, t: 89542933, dt: 2965, ENC_DEG:  9.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -6.05, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.9461107 N:  108, t: 89551152, dt: 2921, ENC_DEG:  9.25, REF:  0.00, VEL_RAW: -45.13, VEL_AVG: -11.90, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
1746520300.9520752 N:  109, t: 89556322, dt: 5170, ENC_DEG:  9.27, REF:  0.00, VEL_RAW:  4.25, VEL_AVG: -11.46, I: -13.82, D:  0.05, VEL_OUT: -29.19, MS_MPC: 23774.19, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.15, gz:  0.24, OX:  0.06
