1746522375.3214562 N:   58, t: 27291292, dt: 25765, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  0.85, VEL_AVG: -0.21, I: -10.56, D: -0.09, VEL_OUT: -24.14, MS_MPC: 29321.38, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.61, gz:  0.67, OX:  0.01
1746522375.3274395 N:   60, t: 27332194, dt: 22716, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -2.90, VEL_AVG: -0.06, I: -10.68, D:  0.01, VEL_OUT: -21.79, MS_MPC: 29323.19, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.31, gz: -0.49, OX: -0.01
1746522375.333424  N:   61, t: 27348478, dt: 16284, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  1.35, VEL_AVG:  0.06, I: -10.73, D: -0.00, VEL_OUT: -22.07, MS_MPC: 29321.38, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.24, gz: -0.73, OX: -0.03
1746522375.3394332 N:   63, t: 27386604, dt: 19767, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.05, I: -10.84, D:  0.00, VEL_OUT: -22.16, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.31, gz: -0.73, OX: -0.01
1746522375.3792996 N:   64, t: 27407041, dt: 20437, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.22, I: -11.06, D: -0.17, VEL_OUT: -26.00, MS_MPC: 29317.74, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.37, gz: -0.61, OX: -0.00
1746522375.3852828 N:   65, t: 27429276, dt: 22235, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -2.96, VEL_AVG:  0.29, I: -11.35, D: -0.07, VEL_OUT: -26.31, MS_MPC: 29323.19, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.67, OX: -0.05
1746522375.4391387 N:   66, t: 27446718, dt: 17442, ENC_DEG: 65.28, REF:  0.00, VEL_RAW: -1.26, VEL_AVG:  0.00, I: -11.35, D:  0.29, VEL_OUT: -19.84, MS_MPC: 29324.99, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.55, gz: -0.49, OX:  0.01
1746522375.4451225 N:   67, t: 27465125, dt: 18407, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  2.39, VEL_AVG:  0.20, I: -11.55, D: -0.20, VEL_OUT: -27.10, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.31, gz: -0.55, OX: -0.01
1746522375.45111   N:   68, t: 27485316, dt: 20191, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.18, I: -11.73, D:  0.02, VEL_OUT: -25.00, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.49, gz: -0.31, OX: -0.00
1746522375.4570904 N:   69, t: 27505702, dt: 20386, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.37, I: -12.10, D: -0.19, VEL_OUT: -29.76, MS_MPC: 29317.74, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.24, gz: -0.24, OX: -0.01
1746522375.4999778 N:   70, t: 27528772, dt: 23070, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -2.86, VEL_AVG:  0.06, I: -12.15, D:  0.31, VEL_OUT: -21.79, MS_MPC: 29323.19, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.24, gz:  0.12, OX:  0.02
1746522375.5867484 N:   71, t: 27546097, dt: 17325, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.07, I: -12.22, D: -0.01, VEL_OUT: -25.22, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.31, gz:  0.31, OX:  0.02
1746522375.6166651 N:   72, t: 27565761, dt: 19664, ENC_DEG: 65.28, REF:  0.00, VEL_RAW: -3.35, VEL_AVG:  0.03, I: -12.25, D:  0.04, VEL_OUT: -24.43, MS_MPC: 29324.99, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.06, gy: -0.43, gz: -0.00, OX:  0.03
1746522375.6206539 N:   73, t: 27589188, dt: 23427, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  1.88, VEL_AVG:  0.07, I: -12.33, D: -0.04, VEL_OUT: -25.83, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.24, gz:  0.37, OX: -0.03
1746522375.6276357 N:   74, t: 27607191, dt: 18003, ENC_DEG: 65.41, REF:  0.00, VEL_RAW:  4.88, VEL_AVG:  0.28, I: -12.61, D: -0.21, VEL_OUT: -30.10, MS_MPC: 29314.08, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.43, gy: -0.06, gz:  0.24, OX:  0.00
1746522375.6336198 N:   75, t: 27625466, dt: 18275, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -3.61, VEL_AVG:  0.07, I: -12.68, D:  0.21, VEL_OUT: -24.02, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.31, OX: -0.00
1746522375.6745253 N:   78, t: 27686745, dt: 19665, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.32, I: -13.51, D: -0.01, VEL_OUT: -30.34, MS_MPC: 29319.57, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.18, gz:  0.49, OX:  0.03
1746522375.681493  N:   79, t: 27707908, dt: 21163, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.04, I: -13.54, D:  0.29, VEL_OUT: -24.58, MS_MPC: 29321.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.43, gy: -0.12, gz: -0.06, OX: -0.01
1746522375.7353458 N:   80, t: 27727064, dt: 19156, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -13.60, D: -0.02, VEL_OUT: -27.96, MS_MPC: 29321.38, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.43, gy: -0.06, gz:  0.06, OX: -0.00
1746522375.795188  N:   81, t: 27748501, dt: 21437, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.06, I: -13.66, D: -0.00, VEL_OUT: -27.96, MS_MPC: 29319.57, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.24, gy: -0.24, gz: -0.18, OX: -0.01
1746522375.8011725 N:   82, t: 27768761, dt: 20260, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.27, I: -13.93, D: -0.21, VEL_OUT: -32.63, MS_MPC: 29317.74, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.49, gy: -0.12, gz: -0.06, OX:  0.00
1746522375.8071535 N:   83, t: 27786915, dt: 18154, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.14, I: -14.07, D:  0.12, VEL_OUT: -28.35, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.31, OX: -0.00
1746522375.81314   N:   84, t: 27805205, dt: 18290, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.23, I: -14.31, D: -0.09, VEL_OUT: -31.86, MS_MPC: 29319.57, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.49, gz:  0.31, OX:  0.05
1746522375.8191233 N:   87, t: 27866635, dt: 19578, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -14.61, D:  0.11, VEL_OUT: -29.01, MS_MPC: 29317.74, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.85, gz:  1.34, OX:  0.06
1746522375.8590176 N:   88, t: 27885929, dt: 19294, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.18, I: -14.79, D: -0.09, VEL_OUT: -32.21, MS_MPC: 29319.57, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.92, gz:  1.34, OX:  0.11
