1746522257.0688727 N:   74, t: 65496277, dt: 20299, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.01, I: -10.88, D:  0.20, VEL_OUT: -19.79, MS_MPC: 21952.78, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.18, gz: -0.09, OX:  0.06
1746522257.0758548 N:   75, t: 65516531, dt: 20254, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -11.06, D: -0.17, VEL_OUT: -25.58, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.24, gz: -0.03, OX: -0.00
1746522257.117743  N:   79, t: 65596128, dt: 21305, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.19, I: -11.68, D: -0.02, VEL_OUT: -25.45, MS_MPC: 21942.48, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.37, gz:  0.64, OX: -0.01
1746522257.122728  N:   80, t: 65614836, dt: 18708, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  2.35, VEL_AVG: -0.07, I: -11.74, D:  0.12, VEL_OUT: -22.97, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.43, gz:  0.64, OX:  0.03
1746522257.129709  N:   81, t: 65638481, dt: 23645, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -11.94, D: -0.12, VEL_OUT: -26.99, MS_MPC: 21952.78, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.43, gz:  0.03, OX: -0.01
1746522257.17716   N:   82, t: 65660579, dt: 22098, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -12.01, D:  0.12, VEL_OUT: -23.61, MS_MPC: 21952.78, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.24, gz: -0.46, OX: -0.02
1746522257.183143  N:   83, t: 65675809, dt: 15230, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  2.89, VEL_AVG:  0.09, I: -12.10, D: -0.02, VEL_OUT: -25.32, MS_MPC: 21963.08, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.31, gz: -0.46, OX: -0.02
1746522257.2369974 N:   84, t: 65695012, dt: 19203, ENC_DEG:  4.31, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.41, I: -12.51, D: -0.31, VEL_OUT: -32.21, MS_MPC: 21973.37, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.12, gz: -0.27, OX: -0.04
1746522257.2429812 N:   85, t: 65717199, dt: 22187, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -5.94, VEL_AVG: -0.09, I: -12.60, D:  0.32, VEL_OUT: -22.92, MS_MPC: 21942.48, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.12, gz: -0.03, OX: -0.01
1746522257.248971  N:   86, t: 65736492, dt: 19293, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  3.42, VEL_AVG:  0.29, I: -12.88, D: -0.20, VEL_OUT: -30.59, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.18, gz:  0.27, OX:  0.00
1746522257.29584   N:   87, t: 65758853, dt: 22361, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -13.17, D:  0.00, VEL_OUT: -29.20, MS_MPC: 21957.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.00, gz:  0.09, OX: -0.00
