1746013246.815702  N:   78, t: 27292172, dt: 19437, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  4.52, VEL_AVG:  0.05, I: -14.96, D:  0.59, VEL_OUT: -24.59, MS_MPC: 27504.69, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.06, gz:  0.37, OX:  0.01
1746013246.8560727 N:   79, t: 27312393, dt: 20221, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -15.09, D: -0.07, VEL_OUT: -32.13, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.12, gy:  0.31, gz:  0.06, OX:  0.00
1746013246.9146419 N:   80, t: 27331401, dt: 19008, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.03, I: -15.12, D:  0.10, VEL_OUT: -29.56, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.12, gy: -0.06, gz: -0.06, OX:  0.02
1746013246.920619  N:   81, t: 27353408, dt: 22007, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -15.25, D: -0.10, VEL_OUT: -32.79, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.24, gy: -0.43, gz: -0.31, OX: -0.01
1746013246.925635  N:   82, t: 27373479, dt: 20071, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.21, I: -15.46, D: -0.08, VEL_OUT: -33.83, MS_MPC: 27498.75, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.31, gy: -0.18, gz: -0.55, OX: -0.01
1746013246.9315486 N:   83, t: 27391487, dt: 18008, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -2.44, VEL_AVG:  0.22, I: -15.68, D: -0.01, VEL_OUT: -33.72, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.01, gx:  0.24, gy: -0.18, gz: -0.55, OX: -0.03
1746013246.9375098 N:   84, t: 27411988, dt: 20501, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.08, I: -15.76, D:  0.14, VEL_OUT: -30.86, MS_MPC: 27498.75, ax:  0.00, ay: -0.03, az:  1.01, gx:  0.00, gy:  0.06, gz: -0.55, OX: -0.05
1746013246.9767027 N:   85, t: 27432803, dt: 20815, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -3.17, VEL_AVG: -0.20, I: -15.96, D: -0.12, VEL_OUT: -35.14, MS_MPC: 27516.54, ax:  0.00, ay: -0.03, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.31, OX: -0.00
1746013247.0354555 N:   86, t: 27451008, dt: 18205, ENC_DEG: 76.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -16.24, D: -0.08, VEL_OUT: -36.13, MS_MPC: 27516.54, ax:  0.01, ay: -0.03, az:  1.00, gx: -0.18, gy:  0.24, gz: -0.06, OX:  0.02
1746013247.0418286 N:   87, t: 27471267, dt: 20259, ENC_DEG: 76.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -16.25, D:  0.28, VEL_OUT: -29.74, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.43, gy:  0.31, gz:  0.24, OX:  0.04
