1746536793.8523421 N:   80, t: 31360847, dt: 19393, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -12.97, D: -0.08, VEL_OUT: -29.23, MS_MPC: 22340.96, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.79, gy: -0.79, gz: -0.49, OX:  0.01
1746536793.8593245 N:   81, t: 31379135, dt: 18288, ENC_DEG:  5.85, REF:  0.00, VEL_RAW: -2.40, VEL_AVG: -0.27, I: -13.24, D: -0.02, VEL_OUT: -29.43, MS_MPC: 22330.82, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.92, gy: -0.37, gz: -0.85, OX: -0.08
1746536793.86375   N:   82, t: 31396482, dt: 17347, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  2.53, VEL_AVG: -0.06, I: -13.30, D:  0.21, VEL_OUT: -25.08, MS_MPC: 22340.96, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.67, gy: -0.67, gz: -0.98, OX: -0.05
1746536793.9103458 N:   83, t: 31419261, dt: 22779, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -0.96, VEL_AVG:  0.03, I: -13.33, D:  0.02, VEL_OUT: -26.76, MS_MPC: 22335.89, ax:  0.01, ay: -0.03, az:  1.00, gx:  0.31, gy: -1.04, gz: -0.37, OX: -0.10
1746536793.9171739 N:   84, t: 31436663, dt: 17402, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.06, I: -13.39, D: -0.03, VEL_OUT: -27.66, MS_MPC: 22340.96, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.12, gy: -0.98, gz:  0.61, OX:  0.02
1746536794.0293453 N:   85, t: 31458467, dt: 21804, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -13.44, D:  0.02, VEL_OUT: -27.13, MS_MPC: 22340.96, ax: -0.00, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.61, gz:  2.01, OX:  0.15
1746536794.0352674 N:   86, t: 31477254, dt: 18787, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.15, I: -13.59, D: -0.10, VEL_OUT: -29.69, MS_MPC: 22346.02, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.43, gy: -0.43, gz:  2.26, OX:  0.10
1746536794.0412514 N:   87, t: 31496462, dt: 19208, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -13.61, D:  0.12, VEL_OUT: -26.27, MS_MPC: 22346.02, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.61, gz:  1.95, OX:  0.03
1746536794.0482311 N:   88, t: 31515617, dt: 19155, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.13, I: -13.74, D: -0.11, VEL_OUT: -29.88, MS_MPC: 22335.89, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.12, gy: -1.04, gz:  1.46, OX: -0.07
1746536794.0878465 N:   91, t: 31576834, dt: 19518, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -14.14, D: -0.07, VEL_OUT: -30.71, MS_MPC: 22346.02, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.43, gy: -0.37, gz:  1.22, OX: -0.00
1746536794.0931876 N:   92, t: 31597236, dt: 20402, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -14.31, D:  0.00, VEL_OUT: -30.30, MS_MPC: 22346.02, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.37, gy: -0.12, gz:  1.22, OX:  0.00
1746536794.09946   N:   93, t: 31615635, dt: 18399, ENC_DEG:  5.93, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.47, I: -14.78, D: -0.30, VEL_OUT: -37.23, MS_MPC: 22351.08, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy:  0.12, gz:  0.98, OX:  0.05
