1746536425.5227213 N:   82, t: 60424047, dt: 25683, ENC_DEG: 17.10, REF:  0.00, VEL_RAW: -1.71, VEL_AVG: -0.22, I: -12.40, D: -0.14, VEL_OUT: -28.38, MS_MPC: 24765.73, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy: -1.10, gz: -0.43, OX: -0.01
1746536425.5287004 N:   86, t: 60498164, dt: 16198, ENC_DEG: 17.18, REF:  0.00, VEL_RAW:  2.71, VEL_AVG:  0.24, I: -13.28, D: -0.04, VEL_OUT: -29.36, MS_MPC: 24783.41, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -2.08, gz: -0.55, OX: -0.01
1746536425.6245596 N:   87, t: 60538364, dt: 40200, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.64, VEL_AVG:  0.27, I: -13.56, D: -0.03, VEL_OUT: -30.17, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.85, gy: -1.71, gz: -0.79, OX:  0.01
1746536425.6307826 N:   88, t: 60561807, dt: 23443, ENC_DEG: 17.07, REF:  0.00, VEL_RAW: -1.87, VEL_AVG:  0.02, I: -13.58, D:  0.25, VEL_OUT: -24.85, MS_MPC: 24761.31, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.79, gy: -1.83, gz: -0.67, OX:  0.06
1746536425.636846  N:   89, t: 60578012, dt: 16205, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  2.71, VEL_AVG:  0.25, I: -13.83, D: -0.23, VEL_OUT: -32.39, MS_MPC: 24770.15, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.61, gy: -2.14, gz: -0.98, OX:  0.01
1746536425.6428232 N:   90, t: 60603408, dt: 25396, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.33, I: -14.16, D: -0.09, VEL_OUT: -32.50, MS_MPC: 24770.15, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.61, gy: -2.56, gz: -1.40, OX: -0.02
1746536425.6848836 N:   92, t: 60638629, dt: 17185, ENC_DEG: 17.18, REF:  0.00, VEL_RAW:  2.56, VEL_AVG:  0.74, I: -15.43, D: -0.21, VEL_OUT: -40.44, MS_MPC: 24783.41, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.67, gy: -2.87, gz: -2.20, OX: -0.03
1746536425.6917686 N:   93, t: 60659690, dt: 21061, ENC_DEG: 17.14, REF:  0.00, VEL_RAW: -2.09, VEL_AVG:  0.37, I: -15.80, D:  0.37, VEL_OUT: -31.55, MS_MPC: 24774.57, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.79, gy: -3.30, gz: -2.26, OX: -0.04
1746536425.7464502 N:   94, t: 60679034, dt: 19344, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.51, I: -16.32, D: -0.14, VEL_OUT: -39.18, MS_MPC: 24774.57, ax:  0.01, ay: -0.01, az:  1.02, gx: -0.98, gy: -2.99, gz: -1.89, OX: -0.03
1746536425.8045805 N:   95, t: 60700604, dt: 21570, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -16.40, D:  0.43, VEL_OUT: -29.42, MS_MPC: 24774.57, ax:  0.01, ay: -0.01, az:  1.01, gx: -1.16, gy: -2.69, gz: -0.79, OX:  0.06
