1746537144.8635647 N:   75, t: 29830878, dt: 35422, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  0.62, VEL_AVG: -0.07, I: -8.57, D: -0.04, VEL_OUT: -18.23, MS_MPC: 21761.48, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.49, gy: -0.55, gz: -0.00, OX:  0.00
1746537144.8695474 N:   76, t: 29849965, dt: 19087, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.30, VEL_AVG:  0.36, I: -8.93, D: -0.29, VEL_OUT: -24.36, MS_MPC: 21771.86, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.61, gy: -0.43, gz: -0.24, OX:  0.12
1746537144.8755326 N:   80, t: 29931360, dt: 21142, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.28, I: -9.85, D: -0.17, VEL_OUT: -24.27, MS_MPC: 21771.86, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.24, gz: -1.16, OX: -0.02
1746537144.8817518 N:   81, t: 29950365, dt: 19005, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.19, I: -10.03, D:  0.10, VEL_OUT: -20.99, MS_MPC: 21766.67, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.37, gz: -1.22, OX:  0.00
1746537144.9746866 N:   82, t: 29974908, dt: 24543, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.26, I: -10.30, D: -0.07, VEL_OUT: -23.97, MS_MPC: 21771.86, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.43, gz: -1.40, OX: -0.02
1746537144.980928  N:   83, t: 29994068, dt: 19160, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.20, I: -10.50, D:  0.07, VEL_OUT: -22.32, MS_MPC: 21766.67, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.61, gy: -0.73, gz: -1.04, OX: -0.03
1746537144.9871383 N:   84, t: 30011238, dt: 17170, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  2.56, VEL_AVG:  0.26, I: -10.76, D: -0.06, VEL_OUT: -24.75, MS_MPC: 21777.05, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.85, gy: -0.73, gz: -0.92, OX:  0.00
1746537144.9921334 N:   85, t: 30031663, dt: 20425, ENC_DEG:  3.39, REF:  0.00, VEL_RAW: -4.30, VEL_AVG: -0.10, I: -10.85, D:  0.16, VEL_OUT: -21.05, MS_MPC: 21756.29, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy: -0.85, gz: -0.55, OX:  0.01
1746537144.9991364 N:   86, t: 30050910, dt: 19247, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  3.43, VEL_AVG:  0.26, I: -11.12, D: -0.17, VEL_OUT: -26.51, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.61, gy: -0.67, gz: -0.43, OX:  0.06
1746537145.0043814 N:   87, t: 30072160, dt: 21250, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -4.14, VEL_AVG: -0.13, I: -11.25, D:  0.13, VEL_OUT: -22.54, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.98, gz: -0.43, OX:  0.01
1746537145.0932117 N:   88, t: 30089864, dt: 17704, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  4.96, VEL_AVG:  0.09, I: -11.34, D:  0.05, VEL_OUT: -23.11, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.49, gy: -1.28, gz: -0.61, OX: -0.01
1746537145.0991929 N:   89, t: 30113327, dt: 23463, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -11.43, D: -0.00, VEL_OUT: -23.78, MS_MPC: 21771.86, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.24, gy: -1.53, gz: -0.31, OX: -0.00
1746537145.1051967 N:   90, t: 30131503, dt: 18176, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.27, I: -11.69, D: -0.17, VEL_OUT: -27.79, MS_MPC: 21777.05, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.12, gy: -0.92, gz: -0.06, OX: -0.01
1746537145.1101866 N:   91, t: 30155048, dt: 23545, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.87, VEL_AVG:  0.21, I: -11.90, D:  0.06, VEL_OUT: -25.36, MS_MPC: 21766.67, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.37, gy: -0.43, gz:  0.49, OX:  0.06
1746537145.117169  N:   92, t: 30172194, dt: 17146, ENC_DEG:  3.39, REF:  0.00, VEL_RAW: -2.56, VEL_AVG: -0.18, I: -12.08, D:  0.03, VEL_OUT: -25.59, MS_MPC: 21756.29, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.24, gz:  0.43, OX:  0.02
1746537145.1545603 N:   93, t: 30192649, dt: 20455, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  4.30, VEL_AVG:  0.28, I: -12.36, D: -0.10, VEL_OUT: -28.51, MS_MPC: 21777.05, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.00, gz:  0.24, OX: -0.06
1746537145.1608307 N:   94, t: 30210439, dt: 17790, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -12.56, D:  0.07, VEL_OUT: -26.41, MS_MPC: 21777.05, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz:  0.06, OX: -0.06
1746537145.1671598 N:   95, t: 30229847, dt: 19408, ENC_DEG:  3.39, REF:  0.00, VEL_RAW: -4.53, VEL_AVG: -0.08, I: -12.64, D:  0.12, VEL_OUT: -24.82, MS_MPC: 21756.29, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.61, gz:  0.49, OX:  0.00
