1746536650.095278  N:  102, t: 30335706, dt: 17398, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -2.53, VEL_AVG: -0.02, I: -15.39, D:  0.27, VEL_OUT: -28.21, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.09, gy:  0.37, gz: -0.27, OX:  0.00
1746536650.1490285 N:  103, t: 30356278, dt: 20572, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.26, I: -15.65, D: -0.24, VEL_OUT: -36.25, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.09, gy:  0.12, gz:  0.09, OX: -0.03
1746536650.2652385 N:  104, t: 30375884, dt: 19606, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  2.24, VEL_AVG: -0.07, I: -15.72, D:  0.19, VEL_OUT: -30.25, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.09, gy:  0.00, gz:  0.34, OX:  0.02
1746536650.2712517 N:  105, t: 30397244, dt: 21360, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.10, I: -15.82, D: -0.03, VEL_OUT: -32.95, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.21, gy:  0.06, gz:  0.27, OX:  0.02
1746536650.2772243 N:  106, t: 30415549, dt: 18305, ENC_DEG:  7.32, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.00, I: -15.82, D:  0.10, VEL_OUT: -30.64, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.09, gy: -0.18, gz:  0.15, OX: -0.00
1746536650.2832477 N:  107, t: 30438020, dt: 22471, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.96, VEL_AVG: -0.16, I: -15.98, D: -0.16, VEL_OUT: -35.22, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.21, gy:  0.06, gz:  0.09, OX: -0.03
1746536650.29023   N:  110, t: 30496058, dt: 18322, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  2.40, VEL_AVG: -0.07, I: -16.33, D:  0.20, VEL_OUT: -31.34, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.01, gx: -0.27, gy:  0.24, gz:  0.40, OX:  0.02
1746536650.3296754 N:  111, t: 30555612, dt: 59554, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -16.50, D: -0.10, VEL_OUT: -35.69, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.27, gy:  0.79, gz:  0.76, OX: -0.03
1746536650.388691  N:  112, t: 30575836, dt: 20224, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.27, I: -16.77, D: -0.10, VEL_OUT: -37.22, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.15, gy:  0.55, gz:  0.58, OX: -0.02
1746536650.3953385 N:  113, t: 30596539, dt: 20703, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  2.12, VEL_AVG: -0.01, I: -16.78, D:  0.26, VEL_OUT: -31.07, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.03, gy:  0.67, gz:  0.46, OX:  0.01
1746536650.401865  N:  114, t: 30616287, dt: 19748, ENC_DEG:  7.32, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.11, I: -16.88, D: -0.10, VEL_OUT: -35.80, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.21, gy:  0.49, gz:  0.27, OX:  0.00
1746536650.5083761 N:  115, t: 30638617, dt: 22330, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -17.08, D: -0.09, VEL_OUT: -37.01, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.21, gy:  0.61, gz:  0.09, OX: -0.01
1746536650.5146253 N:  116, t: 30655880, dt: 17263, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -2.55, VEL_AVG: -0.20, I: -17.28, D: -0.01, VEL_OUT: -36.66, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.27, gy:  0.55, gz:  0.03, OX: -0.01
