1746534951.1735587 N:   72, t: 66555467, dt: 21646, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  2.03, VEL_AVG: -0.12, I: -14.12, D:  0.26, VEL_OUT: -26.80, MS_MPC: 27310.02, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.37, gz: -0.31, OX: -0.00
1746534951.1795406 N:   73, t: 66575540, dt: 20073, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.07, I: -14.18, D:  0.05, VEL_OUT: -28.50, MS_MPC: 27316.77, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.06, gy:  0.18, gz: -0.31, OX: -0.02
1746534951.2266037 N:   74, t: 66599642, dt: 24102, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.01, I: -14.19, D:  0.05, VEL_OUT: -27.95, MS_MPC: 27313.40, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.43, gz:  0.00, OX: -0.02
1746534951.232569  N:   75, t: 66613801, dt: 14159, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.09, I: -14.29, D: -0.08, VEL_OUT: -30.33, MS_MPC: 27306.64, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy:  0.43, gz:  0.31, OX: -0.01
1746534951.238642  N:   76, t: 66635041, dt: 21240, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  3.10, VEL_AVG: -0.14, I: -14.42, D: -0.04, VEL_OUT: -30.67, MS_MPC: 27316.77, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.43, gz:  0.55, OX:  0.02
1746534951.3473809 N:   77, t: 66654611, dt: 19570, ENC_DEG: 31.33, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.33, I: -14.75, D: -0.19, VEL_OUT: -34.62, MS_MPC: 27310.02, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.43, gz:  0.85, OX:  0.06
1746534951.3526866 N:   78, t: 66674850, dt: 20239, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.51, I: -15.26, D: -0.19, VEL_OUT: -37.49, MS_MPC: 27306.64, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.43, gz:  0.73, OX:  0.04
1746534951.3586717 N:   79, t: 66695177, dt: 20327, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.22, I: -15.48, D:  0.29, VEL_OUT: -30.35, MS_MPC: 27303.26, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.18, gz:  0.12, OX:  0.04
1746534951.3650298 N:   82, t: 66753896, dt: 19301, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.47, I: -16.41, D: -0.41, VEL_OUT: -41.57, MS_MPC: 27303.26, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.00, gz:  0.00, OX: -0.03
1746534951.4035437 N:   83, t: 66774468, dt: 20572, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  3.20, VEL_AVG:  0.19, I: -16.59, D:  0.28, VEL_OUT: -32.25, MS_MPC: 27313.40, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.43, gy:  0.12, gz:  0.18, OX:  0.02
1746534951.408928  N:   84, t: 66794115, dt: 19647, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.11, I: -16.70, D:  0.08, VEL_OUT: -33.76, MS_MPC: 27316.77, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.06, gz:  0.18, OX:  0.03
1746534951.415205  N:   85, t: 66814557, dt: 20442, ENC_DEG: 31.33, REF:  0.00, VEL_RAW: -2.15, VEL_AVG: -0.25, I: -16.96, D: -0.14, VEL_OUT: -37.80, MS_MPC: 27310.02, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.37, gy:  0.00, gz:  0.06, OX:  0.00
1746534951.4666758 N:   86, t: 66837730, dt: 23173, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.25, I: -17.21, D: -0.00, VEL_OUT: -36.98, MS_MPC: 27306.64, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.61, gy:  0.31, gz:  0.37, OX:  0.01
1746534951.4735527 N:   87, t: 66854766, dt: 17036, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  3.87, VEL_AVG:  0.33, I: -17.54, D: -0.07, VEL_OUT: -39.09, MS_MPC: 27316.77, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.00, gz:  0.24, OX: -0.00
1746534951.5852406 N:   88, t: 66874906, dt: 20140, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -17.61, D:  0.26, VEL_OUT: -33.32, MS_MPC: 27316.77, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.73, gy: -0.12, gz:  0.06, OX: -0.00
1746534951.5907443 N:   89, t: 66898486, dt: 23580, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -17.86, D: -0.19, VEL_OUT: -40.16, MS_MPC: 27316.77, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.79, gy: -0.24, gz: -0.24, OX: -0.03
1746534951.5967236 N:   90, t: 66915551, dt: 17065, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.24, I: -18.10, D:  0.02, VEL_OUT: -38.43, MS_MPC: 27313.40, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.85, gy:  0.12, gz:  0.00, OX:  0.08
1746534951.6027043 N:   91, t: 66935556, dt: 20005, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -3.30, VEL_AVG:  0.05, I: -18.16, D:  0.18, VEL_OUT: -35.01, MS_MPC: 27303.26, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.28, gy: -0.18, gz: -0.00, OX:  0.06
1746534951.6086893 N:   94, t: 66997500, dt: 22122, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  1.99, VEL_AVG:  0.28, I: -18.85, D: -0.20, VEL_OUT: -42.43, MS_MPC: 27313.40, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.46, gy:  0.37, gz: -0.31, OX: -0.03
1746534951.6147075 N:   95, t: 67015464, dt: 17964, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.11, I: -18.96, D:  0.17, VEL_OUT: -37.38, MS_MPC: 27316.77, ax:  0.01, ay: -0.00, az:  1.00, gx: -1.53, gy:  0.24, gz: -0.12, OX:  0.03
1746534951.6476882 N:   96, t: 67034907, dt: 19443, ENC_DEG: 31.33, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.17, I: -19.13, D: -0.06, VEL_OUT: -40.56, MS_MPC: 27310.02, ax:  0.00, ay:  0.00, az:  1.00, gx: -1.53, gy:  0.00, gz: -0.55, OX:  0.02
1746534951.6546075 N:   97, t: 67053947, dt: 19040, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -19.14, D:  0.16, VEL_OUT: -36.74, MS_MPC: 27310.02, ax: -0.00, ay:  0.00, az:  1.00, gx: -1.46, gy: -0.06, gz: -1.16, OX: -0.00
1746534951.7078774 N:   98, t: 67077876, dt: 23929, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -19.23, D: -0.08, VEL_OUT: -40.12, MS_MPC: 27310.02, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.46, gy: -0.06, gz: -1.40, OX:  0.01
1746534951.8534021 N:   99, t: 67096118, dt: 18242, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -19.46, D: -0.15, VEL_OUT: -42.74, MS_MPC: 27310.02, ax:  0.01, ay: -0.03, az:  1.00, gx: -1.34, gy:  0.00, gz: -1.40, OX: -0.79
