1746019585.541842  N:   77, t: 30242339, dt: 23077, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  2.86, VEL_AVG:  0.10, I: -13.76, D: -0.05, VEL_OUT: -29.00, MS_MPC: 27990.80, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.18, gz: -0.18, OX:  0.01
1746019585.5919862 N:   78, t: 30260027, dt: 17688, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -3.72, VEL_AVG:  0.25, I: -14.02, D: -0.15, VEL_OUT: -32.10, MS_MPC: 28005.77, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.12, gz: -0.67, OX: -0.00
1746019585.5982916 N:   79, t: 30280574, dt: 20547, ENC_DEG: 74.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -14.03, D:  0.23, VEL_OUT: -25.91, MS_MPC: 28005.77, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.24, gz: -0.61, OX:  0.01
1746019585.6516235 N:   80, t: 30299603, dt: 19029, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.10, I: -14.14, D: -0.09, VEL_OUT: -30.16, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.06, gz: -0.61, OX: -0.10
1746019585.6586056 N:   81, t: 30321101, dt: 21498, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  2.04, VEL_AVG:  0.16, I: -14.30, D: -0.06, VEL_OUT: -30.77, MS_MPC: 27990.80, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.18, gz: -0.06, OX: -0.02
1746019585.6635916 N:   82, t: 30338870, dt: 17769, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.24, VEL_AVG:  0.06, I: -14.36, D:  0.10, VEL_OUT: -28.26, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.61, gy:  0.12, gz:  0.37, OX:  0.06
1746019585.6695755 N:   83, t: 30364994, dt: 26124, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  1.68, VEL_AVG: -0.09, I: -14.44, D: -0.03, VEL_OUT: -30.09, MS_MPC: 27985.79, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy:  0.61, gz:  0.61, OX:  0.03
1746019585.6755946 N:   84, t: 30380615, dt: 15621, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -14.59, D: -0.06, VEL_OUT: -31.19, MS_MPC: 27985.79, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.67, gy:  0.31, gz:  0.49, OX:  0.05
1746019585.7703319 N:   85, t: 30405334, dt: 24719, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.78, VEL_AVG:  0.20, I: -14.79, D: -0.05, VEL_OUT: -32.12, MS_MPC: 27995.80, ax:  0.00, ay:  0.02, az:  0.99, gx: -0.18, gy: -0.06, gz:  0.24, OX:  0.04
1746019585.776295  N:   86, t: 30423574, dt: 18240, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -14.80, D:  0.19, VEL_OUT: -27.72, MS_MPC: 27995.80, ax:  0.00, ay:  0.02, az:  0.99, gx: -0.06, gy:  0.06, gz: -0.79, OX: -0.06
1746019585.827158  N:   87, t: 30439592, dt: 16018, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -14.88, D: -0.08, VEL_OUT: -31.37, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.31, gy: -0.31, gz: -1.16, OX: -0.01
1746019585.8331423 N:   88, t: 30459607, dt: 20015, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -14.96, D:  0.00, VEL_OUT: -30.76, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.55, gy: -0.55, gz: -1.16, OX: -0.03
1746019585.8391273 N:   90, t: 30500337, dt: 15582, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -15.27, D: -0.29, VEL_OUT: -36.48, MS_MPC: 27985.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.55, gy: -0.24, gz: -0.67, OX: -0.01
1746019585.8451202 N:   91, t: 30522982, dt: 22645, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.94, VEL_AVG:  0.14, I: -15.41, D:  0.16, VEL_OUT: -30.60, MS_MPC: 27995.80, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.18, gz: -0.43, OX: -0.01
1746019585.851094  N:   93, t: 30560964, dt: 16926, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -3.89, VEL_AVG: -0.36, I: -15.91, D: -0.23, VEL_OUT: -37.81, MS_MPC: 28005.77, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.12, gy:  0.79, gz:  0.43, OX:  0.01
1746019585.8929842 N:   94, t: 30583958, dt: 22994, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -0.96, VEL_AVG: -0.34, I: -16.25, D:  0.02, VEL_OUT: -35.68, MS_MPC: 28010.74, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.18, gy:  0.85, gz:  0.18, OX: -0.00
1746019585.8989718 N:   95, t: 30599249, dt: 15291, ENC_DEG: 74.16, REF:  0.00, VEL_RAW:  1.44, VEL_AVG: -0.36, I: -16.61, D: -0.02, VEL_OUT: -37.04, MS_MPC: 28005.77, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.00, gy:  0.43, gz: -0.12, OX: -0.02
1746019585.952705  N:   96, t: 30620109, dt: 20860, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  2.11, VEL_AVG: -0.19, I: -16.80, D:  0.18, VEL_OUT: -33.70, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.06, gy:  0.00, gz: -0.67, OX: -0.02
1746019585.959199  N:   97, t: 30639341, dt: 19232, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.13, I: -16.93, D:  0.05, VEL_OUT: -34.66, MS_MPC: 28000.79, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.12, gy: -0.18, gz: -0.67, OX: -0.01
1746019585.9642432 N:   98, t: 30659592, dt: 20251, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.14, I: -17.07, D: -0.00, VEL_OUT: -35.56, MS_MPC: 27985.79, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.24, gy: -0.49, gz: -0.73, OX: -0.05
1746019585.9711335 N:   99, t: 30679224, dt: 19632, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -2.24, VEL_AVG: -0.05, I: -17.12, D:  0.09, VEL_OUT: -33.82, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.49, gz:  0.06, OX:  0.09
1746019586.0137887 N:  100, t: 30704312, dt: 25088, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -0.88, VEL_AVG: -0.12, I: -17.24, D: -0.07, VEL_OUT: -36.42, MS_MPC: 28000.79, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.24, gy:  0.18, gz:  0.00, OX:  0.07
1746019586.019766  N:  101, t: 30720572, dt: 16260, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  1.35, VEL_AVG: -0.15, I: -17.39, D: -0.03, VEL_OUT: -36.66, MS_MPC: 27995.80, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.37, gy:  0.43, gz: -0.12, OX:  0.03
1746019586.072483  N:  102, t: 30740522, dt: 19950, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.25, I: -17.64, D: -0.09, VEL_OUT: -38.66, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.00, gz: -0.61, OX: -0.01
1746019586.078711  N:  103, t: 30759663, dt: 19141, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.01, I: -17.65, D:  0.24, VEL_OUT: -33.06, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.31, gy: -0.37, gz: -0.85, OX: -0.03
