1746019970.023985  N:   72, t: 27881748, dt: 20365, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.04, I: -11.92, D:  0.19, VEL_OUT: -22.31, MS_MPC: 29598.41, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.49, gy: -0.24, gz: -0.24, OX: -0.00
1746019970.031904  N:   73, t: 27901794, dt: 20046, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.13, I: -12.05, D: -0.09, VEL_OUT: -26.29, MS_MPC: 29597.97, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.55, gy: -0.18, gz:  0.00, OX:  0.01
1746019970.0378895 N:   74, t: 27922813, dt: 21019, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -12.17, D:  0.00, VEL_OUT: -25.58, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.00, gz: -0.12, OX:  0.03
1746019970.0850909 N:   75, t: 27942070, dt: 19257, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -12.30, D:  0.00, VEL_OUT: -25.86, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.00, gz: -0.18, OX: -0.00
1746019970.0870857 N:   76, t: 27967012, dt: 24942, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -12.43, D:  0.00, VEL_OUT: -26.11, MS_MPC: 29597.97, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.31, gy: -0.18, gz: -0.37, OX: -0.03
1746019970.1399446 N:   77, t: 27985266, dt: 18254, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.12, I: -12.55, D:  0.00, VEL_OUT: -26.26, MS_MPC: 29597.53, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.06, gy: -0.24, gz: -0.12, OX: -0.02
1746019970.1429358 N:   78, t: 28001487, dt: 16221, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -4.06, VEL_AVG: -0.32, I: -12.87, D: -0.20, VEL_OUT: -30.89, MS_MPC: 29598.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.18, OX: -0.00
1746019970.1499176 N:   79, t: 28022443, dt: 20956, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.13, I: -13.00, D:  0.19, VEL_OUT: -25.44, MS_MPC: 29598.41, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.00, gy: -0.24, gz: -0.18, OX:  0.03
1746019970.155902  N:   80, t: 28044163, dt: 21720, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  1.01, VEL_AVG: -0.32, I: -13.31, D: -0.19, VEL_OUT: -31.65, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.12, gz: -0.31, OX:  0.07
1746019970.2140663 N:   81, t: 28063527, dt: 19364, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.32, I: -13.63, D:  0.00, VEL_OUT: -30.43, MS_MPC: 29598.84, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.12, gz: -0.67, OX: -0.01
