1746019314.5746794 N:   87, t: 54633592, dt: 16437, ENC_DEG: 51.66, REF:  0.00, VEL_RAW:  1.34, VEL_AVG: -0.15, I: -16.68, D: -0.07, VEL_OUT: -35.55, MS_MPC: 29468.85, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.06, gz: -0.06, OX:  0.03
1746019314.581721  N:   88, t: 54653663, dt: 20071, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.24, I: -16.91, D: -0.09, VEL_OUT: -37.11, MS_MPC: 29467.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy: -0.06, gz: -0.06, OX: -0.00
1746019314.5867114 N:   89, t: 54676891, dt: 23228, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.03, I: -16.94, D:  0.21, VEL_OUT: -32.09, MS_MPC: 29469.90, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.12, gz: -0.31, OX: -0.01
1746019314.5926952 N:   92, t: 54736633, dt: 24298, ENC_DEG: 51.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.37, I: -17.82, D: -0.20, VEL_OUT: -41.36, MS_MPC: 29467.79, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.31, gz:  0.00, OX:  0.01
1746019314.5986717 N:   93, t: 54754369, dt: 17736, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  2.48, VEL_AVG: -0.01, I: -17.83, D:  0.36, VEL_OUT: -32.18, MS_MPC: 29469.90, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.12, gz: -0.31, OX: -0.05
1746019314.6906414 N:   94, t: 54775262, dt: 20893, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.19, I: -18.02, D: -0.18, VEL_OUT: -39.66, MS_MPC: 29467.79, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.49, gy: -0.12, gz: -0.55, OX: -0.01
1746019314.696623  N:   95, t: 54793624, dt: 18362, ENC_DEG: 51.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -18.11, D:  0.10, VEL_OUT: -36.05, MS_MPC: 29467.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.06, gz: -0.31, OX:  0.01
1746019314.7026536 N:   96, t: 54813671, dt: 20047, ENC_DEG: 51.66, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.09, I: -18.20, D: -0.00, VEL_OUT: -37.33, MS_MPC: 29468.85, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.24, gz: -0.12, OX:  0.04
1746019314.708593  N:   98, t: 54854054, dt: 22149, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  1.98, VEL_AVG:  0.34, I: -18.64, D: -0.24, VEL_OUT: -43.08, MS_MPC: 29472.00, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.73, gy:  0.31, gz:  0.24, OX:  0.01
1746019314.7489328 N:   99, t: 54875390, dt: 21336, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.06, I: -18.69, D:  0.28, VEL_OUT: -35.13, MS_MPC: 29469.90, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.79, gy:  0.49, gz: -0.37, OX: -0.01
1746019314.754917  N:  100, t: 54894367, dt: 18977, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.34, I: -19.04, D: -0.28, VEL_OUT: -44.33, MS_MPC: 29472.00, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.00, gz: -0.24, OX: -0.01
1746019314.760926  N:  101, t: 54912580, dt: 18213, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -19.22, D:  0.16, VEL_OUT: -38.70, MS_MPC: 29472.00, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.73, gy: -0.37, gz:  0.06, OX:  0.04
1746019314.808937  N:  102, t: 54931972, dt: 19392, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -4.53, VEL_AVG: -0.39, I: -19.61, D: -0.21, VEL_OUT: -45.28, MS_MPC: 29467.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.67, gy: -0.24, gz:  0.12, OX:  0.02
