1746176009.961537  N:   59, t: 24713701, dt: 18265, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.06, I: -8.01, D: -0.01, VEL_OUT: -16.70, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  0.99, gx: -0.12, gy: -0.03, gz:  1.89, OX: -0.05
1746176009.9677677 N:   62, t: 24778355, dt: 23403, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.01, I: -8.57, D:  0.31, VEL_OUT: -14.16, MS_MPC: 26252.24, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.27, gz:  1.40, OX:  0.02
1746176010.008405  N:   63, t: 24797679, dt: 19324, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -8.58, D:  0.00, VEL_OUT: -17.29, MS_MPC: 26252.24, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.09, gz:  1.16, OX: -0.00
1746176010.0142257 N:   64, t: 24815751, dt: 18072, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.18, I: -8.77, D: -0.17, VEL_OUT: -21.09, MS_MPC: 26244.09, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.03, gz:  0.73, OX: -0.02
1746176010.0680366 N:   65, t: 24835323, dt: 19572, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.17, I: -8.94, D:  0.01, VEL_OUT: -19.49, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.21, gz:  0.49, OX: -0.04
1746176010.074773  N:   66, t: 24856782, dt: 21459, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.00, I: -8.94, D:  0.17, VEL_OUT: -16.17, MS_MPC: 26260.37, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.55, gy: -0.03, gz:  0.49, OX: -0.03
1746176010.0801423 N:   67, t: 24874050, dt: 17268, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  1.27, VEL_AVG: -0.12, I: -9.06, D: -0.12, VEL_OUT: -20.47, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.67, gy: -0.03, gz:  0.79, OX:  0.09
1746176010.0872414 N:   68, t: 24894299, dt: 20249, ENC_DEG: 80.07, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.13, I: -9.19, D: -0.01, VEL_OUT: -19.76, MS_MPC: 26268.49, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.15, gz:  0.67, OX:  0.02
1746176010.1290245 N:   69, t: 24914957, dt: 20658, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  4.25, VEL_AVG:  0.23, I: -9.41, D: -0.10, VEL_OUT: -22.07, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.09, gz:  0.55, OX:  0.01
1746176010.134505  N:   70, t: 24934233, dt: 19276, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -9.64, D:  0.00, VEL_OUT: -21.54, MS_MPC: 26235.94, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.15, gz:  0.37, OX:  0.04
1746176010.1898522 N:   71, t: 24955444, dt: 21211, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -2.07, VEL_AVG: -0.05, I: -9.69, D:  0.18, VEL_OUT: -18.04, MS_MPC: 26252.24, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.15, gz: -0.18, OX: -0.08
1746176010.2439356 N:   72, t: 24976110, dt: 20666, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.05, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.2506952 N:   75, t: 24988870, dt: 3779, ENC_DEG: 80.20, REF:  0.00, VEL_RAW: 17.45, VEL_AVG:  1.35, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.2566876 N:   77, t: 25016812, dt: 2928, ENC_DEG: 79.67, REF:  0.00, VEL_RAW: -45.03, VEL_AVG: -3.73, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.2616663 N:   78, t: 25024130, dt: 7318, ENC_DEG: 79.63, REF:  0.00, VEL_RAW: -6.01, VEL_AVG: -4.15, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3043766 N:   80, t: 25031883, dt: 4915, ENC_DEG: 79.37, REF:  0.00, VEL_RAW: -8.94, VEL_AVG: -11.27, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3110769 N:   81, t: 25081623, dt: 49740, ENC_DEG: 78.25, REF:  0.00, VEL_RAW: -22.53, VEL_AVG: -13.50, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3160534 N:   82, t: 25084604, dt: 2981, ENC_DEG: 78.22, REF:  0.00, VEL_RAW: -7.37, VEL_AVG: -14.12, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3220446 N:   83, t: 25089878, dt: 5274, ENC_DEG: 78.16, REF:  0.00, VEL_RAW: -12.50, VEL_AVG: -14.98, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.328997  N:   88, t: 25107169, dt: 3798, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -23.85, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.33429   N:   89, t: 25136809, dt: 29640, ENC_DEG: 77.39, REF:  0.00, VEL_RAW: -14.08, VEL_AVG: -21.27, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.340149  N:   90, t: 25139848, dt: 3039, ENC_DEG: 77.39, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -20.77, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3644156 N:   92, t: 25150116, dt: 2924, ENC_DEG: 77.26, REF:  0.00, VEL_RAW: -37.50, VEL_AVG: -16.95, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.3698258 N:   93, t: 25156517, dt: 6401, ENC_DEG: 77.19, REF:  0.00, VEL_RAW: -10.31, VEL_AVG: -15.93, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
1746176010.375851  N:   94, t: 25160702, dt: 4185, ENC_DEG: 77.17, REF:  0.00, VEL_RAW: -5.25, VEL_AVG: -15.76, I: -9.74, D: -0.00, VEL_OUT: -20.01, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.12, OX: -0.05
