1746017175.6209464 N:   53, t: 43533670, dt: 19928, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -8.56, D:  0.09, VEL_OUT: -17.28, MS_MPC: 29564.21, ax:  0.06, ay: -0.01, az:  0.99, gx:  3.39, gy: -0.55, gz: -1.89, OX: -0.05
1746017175.6289241 N:   54, t: 43553362, dt: 19692, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -2.23, VEL_AVG: -0.54, I: -9.10, D: -0.44, VEL_OUT: -27.98, MS_MPC: 29565.65, ax:  0.05, ay: -0.01, az:  1.00, gx:  2.66, gy: -0.73, gz: -1.71, OX: -0.02
1746017175.6309192 N:   55, t: 43572893, dt: 19531, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -9.11, D:  0.53, VEL_OUT: -13.03, MS_MPC: 29565.65, ax:  0.05, ay: -0.01, az:  1.02, gx:  2.23, gy: -0.61, gz: -1.53, OX: -0.11
1746017175.7735374 N:   56, t: 43592962, dt: 20069, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -9.21, D: -0.09, VEL_OUT: -20.37, MS_MPC: 29565.65, ax:  0.06, ay: -0.02, az:  1.02, gx:  1.13, gy: -0.37, gz: -1.04, OX: -0.01
1746017175.8996234 N:   57, t: 43612685, dt: 19723, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -9.31, D:  0.00, VEL_OUT: -19.66, MS_MPC: 29565.65, ax:  0.06, ay: -0.02, az:  1.01, gx: -0.58, gy: -0.37, gz: -0.67, OX: -0.02
1746017175.9046094 N:   58, t: 43631802, dt: 19117, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.01, I: -9.32, D:  0.10, VEL_OUT: -17.76, MS_MPC: 29564.93, ax:  0.06, ay: -0.02, az:  1.00, gx: -1.19, gy: -0.24, gz: -0.37, OX: -0.01
1746017175.9115915 N:   59, t: 43652185, dt: 20383, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.39, I: -9.72, D: -0.39, VEL_OUT: -27.26, MS_MPC: 29563.48, ax:  0.06, ay: -0.02, az:  1.00, gx: -1.86, gy:  0.37, gz:  0.55, OX: -0.04
1746017175.9175744 N:   64, t: 43753344, dt: 20408, ENC_DEG: 60.98, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.36, I: -10.57, D: -0.27, VEL_OUT: -27.45, MS_MPC: 29567.07, ax:  0.05, ay: -0.00, az:  0.99, gx:  0.09, gy:  1.65, gz: -1.22, OX: -0.01
1746017175.9225612 N:   66, t: 43794689, dt: 22371, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.13, I: -10.73, D: -0.10, VEL_OUT: -23.80, MS_MPC: 29564.93, ax:  0.06, ay: -0.02, az:  1.00, gx:  0.70, gy:  1.22, gz: -1.28, OX: -0.02
1746017175.9295425 N:   67, t: 43894665, dt: 99976, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  0.22, VEL_AVG:  0.15, I: -10.88, D: -0.02, VEL_OUT: -23.42, MS_MPC: 29564.21, ax:  0.05, ay: -0.00, az:  0.98, gx: -1.25, gy:  0.79, gz:  1.22, OX:  0.14
