1746017435.2215185 N:   53, t: 33963149, dt: 21458, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.25, I: -8.84, D: -0.25, VEL_OUT: -22.62, MS_MPC: 27814.83, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.49, gz:  1.34, OX:  0.04
1746017435.2275321 N:   54, t: 33980545, dt: 17396, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  3.79, VEL_AVG:  0.28, I: -9.12, D: -0.03, VEL_OUT: -21.33, MS_MPC: 27798.73, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.79, gz:  0.98, OX:  0.02
1746017435.23374   N:   55, t: 34001305, dt: 20760, ENC_DEG: 75.02, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.19, I: -9.31, D:  0.09, VEL_OUT: -19.64, MS_MPC: 27804.11, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -1.10, gz:  0.67, OX: -0.03
1746017435.3406284 N:   56, t: 34020211, dt: 18906, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -2.32, VEL_AVG: -0.00, I: -9.31, D:  0.19, VEL_OUT: -16.80, MS_MPC: 27814.83, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.55, gy: -1.10, gz:  0.73, OX: -0.03
1746017435.3456132 N:   57, t: 34041524, dt: 21313, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.08, I: -9.40, D: -0.08, VEL_OUT: -20.40, MS_MPC: 27809.47, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.98, gy: -1.04, gz:  1.10, OX:  0.03
1746017435.3519459 N:   58, t: 34062060, dt: 20536, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -9.41, D:  0.07, VEL_OUT: -18.31, MS_MPC: 27809.47, ax: -0.00, ay:  0.01, az:  1.00, gx: -1.04, gy: -0.92, gz:  0.98, OX:  0.05
1746017435.3579316 N:   59, t: 34081210, dt: 19150, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.17, I: -9.58, D: -0.15, VEL_OUT: -22.32, MS_MPC: 27804.11, ax:  0.00, ay:  0.01, az:  1.00, gx: -1.16, gy: -1.10, gz:  0.79, OX:  0.01
1746017435.3639176 N:   61, t: 34120080, dt: 15325, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -9.75, D:  0.00, VEL_OUT: -20.39, MS_MPC: 27809.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.34, gy: -1.40, gz: -0.12, OX: -0.06
1746017435.4013367 N:   62, t: 34141403, dt: 21323, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -9.94, D: -0.10, VEL_OUT: -22.68, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.22, gy: -1.10, gz: -0.06, OX: -0.03
1746017435.4075222 N:   63, t: 34161934, dt: 20531, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -9.99, D:  0.13, VEL_OUT: -19.18, MS_MPC: 27809.47, ax: -0.00, ay:  0.00, az:  1.00, gx: -1.16, gy: -0.43, gz:  0.31, OX:  0.02
1746017435.4146063 N:   64, t: 34180141, dt: 18207, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -10.04, D:  0.00, VEL_OUT: -20.61, MS_MPC: 27809.47, ax:  0.00, ay:  0.01, az:  1.00, gx: -1.10, gy:  0.06, gz:  0.85, OX:  0.04
1746017435.461788  N:   65, t: 34204103, dt: 23962, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -10.18, D: -0.09, VEL_OUT: -22.59, MS_MPC: 27809.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.73, gy: -0.18, gz:  0.37, OX: -0.01
1746017435.4675531 N:   66, t: 34221223, dt: 17120, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -10.36, D: -0.04, VEL_OUT: -22.90, MS_MPC: 27809.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.67, gy: -0.67, gz: -0.00, OX: -0.02
1746017435.473713  N:   67, t: 34240625, dt: 19402, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.00, I: -10.36, D:  0.17, VEL_OUT: -19.03, MS_MPC: 27804.11, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.61, gy: -0.43, gz:  0.12, OX: -0.12
1746017435.5225182 N:   68, t: 34260770, dt: 20145, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.11, I: -10.47, D: -0.10, VEL_OUT: -23.04, MS_MPC: 27809.47, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.55, gy:  0.43, gz:  0.79, OX: -0.00
1746017435.528492  N:   69, t: 34280174, dt: 19404, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.12, I: -10.59, D: -0.01, VEL_OUT: -22.41, MS_MPC: 27804.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.61, gz:  1.53, OX:  0.02
1746017435.5345385 N:   70, t: 34300421, dt: 20247, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -10.70, D:  0.00, VEL_OUT: -22.56, MS_MPC: 27804.11, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.43, gy:  0.49, gz:  1.77, OX:  0.14
1746017435.5815375 N:   71, t: 34324864, dt: 24443, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.05, I: -10.76, D:  0.06, VEL_OUT: -21.45, MS_MPC: 27809.47, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.31, gy:  0.55, gz:  0.67, OX: -0.02
1746017435.588166  N:   72, t: 34340121, dt: 15257, ENC_DEG: 75.06, REF:  0.00, VEL_RAW:  4.32, VEL_AVG:  0.38, I: -11.14, D: -0.33, VEL_OUT: -29.39, MS_MPC: 27793.35, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.43, gy:  0.55, gz:  0.49, OX: -0.09
1746017435.5943084 N:   73, t: 34359565, dt: 19444, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -4.52, VEL_AVG:  0.01, I: -11.15, D:  0.38, VEL_OUT: -18.59, MS_MPC: 27814.83, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.49, gy:  0.18, gz:  1.16, OX: -0.03
1746017435.6419418 N:   74, t: 34382966, dt: 23401, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  2.82, VEL_AVG:  0.24, I: -11.39, D: -0.23, VEL_OUT: -27.53, MS_MPC: 27798.73, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.61, gy:  0.18, gz:  1.77, OX:  0.04
1746017435.6481543 N:   75, t: 34400420, dt: 17454, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -11.63, D:  0.00, VEL_OUT: -25.66, MS_MPC: 27798.73, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.55, gy:  0.92, gz:  2.14, OX:  0.06
1746017435.7005675 N:   76, t: 34422725, dt: 22305, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -2.96, VEL_AVG: -0.01, I: -11.63, D:  0.24, VEL_OUT: -20.96, MS_MPC: 27814.83, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.37, gy:  0.67, gz:  2.26, OX:  0.01
1746017435.7065072 N:   77, t: 34442018, dt: 19293, ENC_DEG: 74.97, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -11.64, D:  0.00, VEL_OUT: -23.33, MS_MPC: 27814.83, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.00, gy:  0.31, gz:  1.83, OX:  0.01
1746017435.7124975 N:   78, t: 34460196, dt: 18178, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.10, I: -11.73, D: -0.09, VEL_OUT: -25.32, MS_MPC: 27809.47, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.67, gz:  1.71, OX: -0.04
1746017435.7184756 N:   79, t: 34480818, dt: 20622, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.18, I: -11.91, D: -0.08, VEL_OUT: -26.44, MS_MPC: 27798.73, ax: -0.01, ay:  0.01, az:  0.99, gx:  0.61, gy:  0.55, gz:  1.77, OX:  0.01
1746017435.762193  N:   80, t: 34501182, dt: 20364, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.09, I: -12.00, D:  0.09, VEL_OUT: -24.01, MS_MPC: 27809.47, ax: -0.00, ay:  0.02, az:  0.99, gx:  1.04, gy:  0.49, gz:  1.65, OX:  0.08
1746017435.7683601 N:   81, t: 34520717, dt: 19535, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -12.01, D:  0.09, VEL_OUT: -23.21, MS_MPC: 27809.47, ax: -0.00, ay:  0.02, az:  1.00, gx:  1.10, gy: -0.06, gz:  1.04, OX:  0.01
1746017435.8219543 N:   82, t: 34540795, dt: 20078, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.10, I: -12.10, D: -0.09, VEL_OUT: -26.07, MS_MPC: 27814.83, ax:  0.00, ay:  0.02, az:  1.00, gx:  1.04, gy: -0.31, gz:  0.31, OX: -0.02
1746017435.8274124 N:   83, t: 34560825, dt: 20030, ENC_DEG: 74.95, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.11, I: -12.21, D: -0.02, VEL_OUT: -25.72, MS_MPC: 27820.17, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.79, gy: -0.55, gz: -0.24, OX: -0.01
