1746017903.3466973 N:   61, t: 26363470, dt: 14429, ENC_DEG: 62.23, REF:  0.00, VEL_RAW:  6.09, VEL_AVG:  0.33, I: -9.75, D: -0.18, VEL_OUT: -24.68, MS_MPC: 29518.48, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.49, gz:  0.55, OX:  0.05
1746017903.3532443 N:   62, t: 26386681, dt: 23211, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -2.84, VEL_AVG:  0.26, I: -10.01, D:  0.08, VEL_OUT: -21.79, MS_MPC: 29521.46, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.55, gz:  0.61, OX:  0.03
1746017903.3602712 N:   63, t: 26403785, dt: 17104, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.17, I: -10.18, D:  0.08, VEL_OUT: -21.26, MS_MPC: 29520.47, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.00, gy: -0.55, gz:  0.12, OX:  0.01
1746017903.4088812 N:   64, t: 26423648, dt: 19863, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.08, I: -10.26, D:  0.09, VEL_OUT: -20.40, MS_MPC: 29521.46, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.00, gy: -0.73, gz: -0.31, OX: -0.02
1746017903.4148655 N:   65, t: 26446411, dt: 22763, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.35, I: -10.61, D: -0.27, VEL_OUT: -27.49, MS_MPC: 29521.46, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.85, OX: -0.00
1746017903.4208446 N:   66, t: 26463430, dt: 17019, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.16, I: -10.77, D:  0.19, VEL_OUT: -21.21, MS_MPC: 29522.44, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.37, gz: -1.04, OX: -0.02
1746017903.468105  N:   67, t: 26484451, dt: 21021, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.42, I: -11.19, D: -0.26, VEL_OUT: -29.21, MS_MPC: 29519.48, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.79, OX: -0.07
1746017903.4740891 N:   68, t: 26509044, dt: 24593, ENC_DEG: 62.18, REF:  0.00, VEL_RAW: -0.89, VEL_AVG:  0.19, I: -11.39, D:  0.23, VEL_OUT: -22.38, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.24, gz: -0.73, OX: -0.05
1746017903.480132  N:   69, t: 26527404, dt: 18360, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.09, I: -11.47, D:  0.10, VEL_OUT: -22.78, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.24, OX:  0.03
1746017903.5271454 N:   70, t: 26543097, dt: 15693, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  2.80, VEL_AVG:  0.32, I: -11.79, D: -0.23, VEL_OUT: -29.13, MS_MPC: 29520.47, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.24, gz:  0.00, OX: -0.01
1746017903.533828  N:   71, t: 26566738, dt: 23641, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -12.11, D:  0.00, VEL_OUT: -27.43, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.49, gy:  0.24, gz:  0.06, OX: -0.03
1746017903.539218  N:   72, t: 26584558, dt: 17820, ENC_DEG: 62.23, REF:  0.00, VEL_RAW:  2.47, VEL_AVG:  0.60, I: -12.72, D: -0.28, VEL_OUT: -34.32, MS_MPC: 29518.48, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.73, gy:  0.00, gz:  0.00, OX:  0.08
1746017903.5877795 N:   73, t: 26603625, dt: 19067, ENC_DEG: 62.18, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.10, I: -12.81, D:  0.51, VEL_OUT: -21.49, MS_MPC: 29520.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.67, gy:  0.06, gz: -0.06, OX:  0.02
1746017903.5933306 N:   74, t: 26624233, dt: 20608, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.05, I: -12.87, D:  0.04, VEL_OUT: -25.83, MS_MPC: 29521.46, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.61, gy: -0.06, gz: -0.24, OX: -0.01
1746017903.5993335 N:   75, t: 26643308, dt: 19075, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -12.92, D: -0.00, VEL_OUT: -26.40, MS_MPC: 29521.46, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.18, gz:  0.31, OX:  0.01
1746017903.7036905 N:   76, t: 26667346, dt: 24038, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.11, I: -13.03, D: -0.06, VEL_OUT: -27.80, MS_MPC: 29520.47, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.06, gy:  0.12, gz:  0.06, OX: -0.01
1746017903.710389  N:   77, t: 26684683, dt: 17337, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.22, I: -13.25, D: -0.11, VEL_OUT: -29.76, MS_MPC: 29519.48, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.24, gy: -0.06, gz:  0.00, OX: -0.00
1746017903.7163672 N:   78, t: 26703838, dt: 19155, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.33, I: -13.58, D: -0.11, VEL_OUT: -31.51, MS_MPC: 29519.48, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.37, gy: -0.18, gz:  0.00, OX:  0.00
1746017903.7223523 N:   79, t: 26725160, dt: 21322, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -13.65, D:  0.26, VEL_OUT: -25.34, MS_MPC: 29519.48, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.79, gy: -0.24, gz:  0.00, OX:  0.01
1746017903.7283602 N:   82, t: 26783013, dt: 15351, ENC_DEG: 62.21, REF:  0.00, VEL_RAW: -1.43, VEL_AVG:  0.03, I: -14.12, D:  0.35, VEL_OUT: -25.05, MS_MPC: 29519.48, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.85, gy: -0.98, gz: -0.85, OX: -0.01
1746017903.8244143 N:   83, t: 26804110, dt: 21097, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -3.12, VEL_AVG: -0.23, I: -14.34, D: -0.19, VEL_OUT: -32.87, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.61, gy: -1.22, gz: -0.85, OX: -0.03
1746017903.8303924 N:   84, t: 26827509, dt: 23399, ENC_DEG: 62.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.43, I: -14.78, D: -0.21, VEL_OUT: -35.92, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.37, gy: -1.16, gz: -0.18, OX:  0.03
1746017903.8373363 N:   85, t: 26843945, dt: 16436, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  2.67, VEL_AVG: -0.02, I: -14.79, D:  0.41, VEL_OUT: -25.60, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.06, gy: -0.85, gz:  0.06, OX:  0.07
1746017903.8433206 N:   86, t: 26863393, dt: 19448, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -14.86, D: -0.06, VEL_OUT: -31.00, MS_MPC: 29520.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.37, gz:  0.85, OX:  0.07
1746017903.8878386 N:   88, t: 26907437, dt: 20668, ENC_DEG: 62.23, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.16, I: -15.18, D: -0.01, VEL_OUT: -32.11, MS_MPC: 29518.48, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.24, gz:  0.79, OX: -0.00
1746017903.8943129 N:   89, t: 26926929, dt: 19492, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -4.51, VEL_AVG: -0.32, I: -15.50, D: -0.16, VEL_OUT: -35.74, MS_MPC: 29522.44, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.18, gz:  0.49, OX:  0.01
1746017903.9005988 N:   90, t: 26944096, dt: 17167, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.21, I: -15.71, D:  0.11, VEL_OUT: -32.47, MS_MPC: 29521.46, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.00, gz:  0.18, OX: -0.01
1746017904.0071084 N:   91, t: 26966110, dt: 22014, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.30, I: -16.00, D: -0.08, VEL_OUT: -35.79, MS_MPC: 29522.44, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.24, OX: -0.00
1746017904.0135734 N:   92, t: 26985406, dt: 19296, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.01, I: -16.01, D:  0.28, VEL_OUT: -29.29, MS_MPC: 29521.46, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.55, gy: -0.79, gz: -0.49, OX:  0.00
