1746025249.8555567 N:   82, t: 56520476, dt: 19856, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  3.32, VEL_AVG:  0.25, I: -15.08, D: -0.18, VEL_OUT: -34.47, MS_MPC: 27924.89, ax:  0.01, ay:  0.00, az:  0.99, gx:  1.40, gy: -0.46, gz: -1.65, OX:  0.02
1746025249.8615503 N:   83, t: 56543937, dt: 23461, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -3.75, VEL_AVG: -0.16, I: -15.24, D:  0.09, VEL_OUT: -31.16, MS_MPC: 27945.35, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.65, gy: -0.82, gz: -2.01, OX:  0.05
1746025249.867515  N:   84, t: 56562153, dt: 18216, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.15, I: -15.39, D:  0.01, VEL_OUT: -32.22, MS_MPC: 27940.25, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.53, gy: -1.01, gz: -2.38, OX:  0.00
1746025249.8735201 N:   85, t: 56579394, dt: 17241, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  3.82, VEL_AVG:  0.24, I: -15.63, D: -0.09, VEL_OUT: -34.60, MS_MPC: 27924.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.71, gy: -1.01, gz: -2.69, OX: -0.01
1746025249.8795125 N:   87, t: 56624675, dt: 24752, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  1.78, VEL_AVG:  0.21, I: -15.88, D: -0.17, VEL_OUT: -35.58, MS_MPC: 27924.89, ax:  0.01, ay: -0.01, az:  1.01, gx:  1.95, gy: -1.13, gz: -2.38, OX:  0.00
1746025249.9742494 N:   88, t: 56640358, dt: 15683, ENC_DEG: 74.47, REF:  0.00, VEL_RAW: -2.80, VEL_AVG: -0.02, I: -15.91, D:  0.19, VEL_OUT: -30.15, MS_MPC: 27935.14, ax:  0.01, ay: -0.01, az:  1.01, gx:  1.65, gy: -1.25, gz: -1.89, OX: -0.06
1746025249.9802253 N:   89, t: 56659194, dt: 18836, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -2.33, VEL_AVG: -0.12, I: -16.02, D: -0.09, VEL_OUT: -34.14, MS_MPC: 27945.35, ax:  0.01, ay: -0.01, az:  1.02, gx:  1.04, gy: -1.01, gz: -1.22, OX: -0.00
1746025249.9861977 N:   90, t: 56681566, dt: 22372, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.51, I: -16.53, D: -0.39, VEL_OUT: -42.00, MS_MPC: 27950.44, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.43, gy: -0.21, gz: -0.55, OX:  0.01
1746025249.9921815 N:   91, t: 56700637, dt: 19071, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  2.30, VEL_AVG:  0.31, I: -16.84, D:  0.19, VEL_OUT: -34.91, MS_MPC: 27940.25, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.21, gz:  0.24, OX: -0.00
1746025249.9991653 N:   93, t: 56739453, dt: 15310, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -2.87, VEL_AVG: -0.13, I: -17.17, D:  0.07, VEL_OUT: -34.86, MS_MPC: 27945.35, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy: -0.89, gz: -1.04, OX: -0.01
1746025250.0390568 N:   94, t: 56759734, dt: 20281, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  3.25, VEL_AVG: -0.13, I: -17.30, D: -0.01, VEL_OUT: -35.97, MS_MPC: 27930.02, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.92, gy: -1.31, gz: -1.10, OX: -0.00
1746025250.0440826 N:   95, t: 56781562, dt: 21828, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -2.01, VEL_AVG:  0.01, I: -17.31, D:  0.12, VEL_OUT: -33.56, MS_MPC: 27940.25, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.98, gy: -0.95, gz: -0.79, OX: -0.02
