1746024875.9341836 N:   49, t: 26820614, dt: 21249, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.07, VEL_AVG:  0.02, I: -11.95, D: -0.01, VEL_OUT: -24.15, MS_MPC: 27013.95, ax:  0.03, ay: -0.02, az:  1.01, gx:  0.55, gy: -0.37, gz:  1.53, OX:  0.03
1746024875.9392092 N:   50, t: 26836988, dt: 16374, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.68, VEL_AVG: -0.10, I: -12.05, D: -0.08, VEL_OUT: -25.88, MS_MPC: 27027.58, ax:  0.02, ay: -0.02, az:  1.00, gx:  0.49, gy:  0.49, gz:  2.93, OX:  0.00
1746024875.9461517 N:   51, t: 26857665, dt: 20677, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.17, I: -12.22, D: -0.07, VEL_OUT: -26.92, MS_MPC: 27013.95, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.37, gy:  0.92, gz:  3.78, OX:  0.03
1746024876.0538642 N:   52, t: 26876684, dt: 19019, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.02, I: -12.24, D:  0.15, VEL_OUT: -23.15, MS_MPC: 27027.58, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.00, gy:  0.37, gz:  4.09, OX:  0.00
1746024876.05985   N:   53, t: 26899940, dt: 23256, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -12.26, D:  0.00, VEL_OUT: -24.72, MS_MPC: 27027.58, ax:  0.02, ay: -0.03, az:  1.02, gx: -0.55, gy:  0.18, gz:  3.97, OX: -0.07
1746024876.0658374 N:   54, t: 26920904, dt: 20964, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.10, VEL_AVG: -0.02, I: -12.28, D:  0.00, VEL_OUT: -24.70, MS_MPC: 27013.95, ax:  0.01, ay: -0.02, az:  1.02, gx: -1.22, gy:  0.31, gz:  4.46, OX:  0.02
1746024876.0718157 N:   55, t: 26936102, dt: 15198, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -1.45, VEL_AVG:  0.01, I: -12.29, D:  0.01, VEL_OUT: -24.65, MS_MPC: 27020.77, ax:  0.01, ay: -0.02, az:  1.03, gx: -1.83, gy:  0.61, gz:  4.70, OX: -0.03
1746024876.1137042 N:   58, t: 26998398, dt: 22524, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.45, I: -13.30, D:  0.00, VEL_OUT: -31.06, MS_MPC: 27034.38, ax: -0.01, ay:  0.01, az:  1.00, gx: -2.75, gy:  3.42, gz:  6.71, OX:  0.11
1746024876.1196887 N:   59, t: 27017503, dt: 19105, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  2.30, VEL_AVG: -0.08, I: -13.38, D:  0.37, VEL_OUT: -23.86, MS_MPC: 27020.77, ax: -0.02, ay:  0.01, az:  0.99, gx: -1.95, gy:  3.23, gz:  6.10, OX:  0.04
1746024876.1735442 N:   60, t: 27035745, dt: 18242, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.12, I: -13.50, D: -0.04, VEL_OUT: -28.65, MS_MPC: 27007.13, ax: -0.03, ay:  0.01, az:  0.99, gx: -1.16, gy:  2.81, gz:  4.21, OX: -0.02
