1746174370.2781982 N:   89, t: 24489420, dt: 6393, ENC_DEG: 79.34, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -21.86, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2961507 N:   90, t: 24497534, dt: 8114, ENC_DEG: 79.23, REF:  0.00, VEL_RAW: -13.54, VEL_AVG: -19.97, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2971497 N:   91, t: 24500483, dt: 2949, ENC_DEG: 79.10, REF:  0.00, VEL_RAW: -44.69, VEL_AVG: -23.13, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2971497 N:   93, t: 24507645, dt: 2922, ENC_DEG: 78.95, REF:  0.00, VEL_RAW: -22.59, VEL_AVG: -21.99, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.3602962 N:   94, t: 24514121, dt: 6476, ENC_DEG: 78.91, REF:  0.00, VEL_RAW: -6.79, VEL_AVG: -21.40, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.366295  N:   95, t: 24519333, dt: 5212, ENC_DEG: 78.77, REF:  0.00, VEL_RAW: -25.29, VEL_AVG: -19.79, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.3722842 N:   96, t: 24522334, dt: 3001, ENC_DEG: 78.71, REF:  0.00, VEL_RAW: -21.97, VEL_AVG: -22.31, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.423022  N:   97, t: 24527505, dt: 5171, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -20.45, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.4296114 N:  103, t: 24555603, dt: 2733, ENC_DEG: 78.09, REF:  0.00, VEL_RAW: -16.07, VEL_AVG: -20.90, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.5992146 N:  104, t: 24606227, dt: 50624, ENC_DEG: 77.37, REF:  0.00, VEL_RAW: -14.32, VEL_AVG: -20.37, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.6053102 N:  105, t: 24609194, dt: 2967, ENC_DEG: 77.28, REF:  0.00, VEL_RAW: -29.61, VEL_AVG: -20.96, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.611293  N:  111, t: 24634477, dt: 3837, ENC_DEG: 76.97, REF:  0.00, VEL_RAW: -22.91, VEL_AVG: -16.42, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.6165485 N:  112, t: 24666003, dt: 31526, ENC_DEG: 76.55, REF:  0.00, VEL_RAW: -13.24, VEL_AVG: -16.57, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.6222205 N:  115, t: 24679005, dt: 2766, ENC_DEG: 76.33, REF:  0.00, VEL_RAW: -15.88, VEL_AVG: -14.59, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.6282701 N:  116, t: 24839010, dt: 160005, ENC_DEG: 73.92, REF:  0.00, VEL_RAW: -15.11, VEL_AVG: -14.65, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
