1746173754.3491766 N:   69, t: 28079130, dt: 2947, ENC_DEG: 78.64, REF:  0.00, VEL_RAW:  7.46, VEL_AVG:  0.01, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3551075 N:   73, t: 28103389, dt: 7769, ENC_DEG: 78.27, REF:  0.00, VEL_RAW: -28.28, VEL_AVG: -4.29, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3615808 N:   74, t: 28115267, dt: 11878, ENC_DEG: 78.09, REF:  0.00, VEL_RAW: -14.79, VEL_AVG: -5.71, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3922102 N:   75, t: 28118271, dt: 3004, ENC_DEG: 78.03, REF:  0.00, VEL_RAW: -21.99, VEL_AVG: -7.37, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3990564 N:   77, t: 28125549, dt: 2989, ENC_DEG: 77.92, REF:  0.00, VEL_RAW: -22.05, VEL_AVG: -10.25, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.4044154 N:   78, t: 28130687, dt: 5138, ENC_DEG: 77.89, REF:  0.00, VEL_RAW: -4.28, VEL_AVG: -10.70, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.4112422 N:   80, t: 28137762, dt: 2929, ENC_DEG: 77.67, REF:  0.00, VEL_RAW: -37.52, VEL_AVG: -14.80, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.4162052 N:   85, t: 28155545, dt: 2751, ENC_DEG: 77.39, REF:  0.00, VEL_RAW: -31.95, VEL_AVG: -18.84, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.4222484 N:   86, t: 28177311, dt: 21766, ENC_DEG: 76.99, REF:  0.00, VEL_RAW: -18.17, VEL_AVG: -19.12, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.5150585 N:   87, t: 28180322, dt: 3011, ENC_DEG: 76.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -17.29, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.5790966 N:   88, t: 28187950, dt: 7628, ENC_DEG: 76.91, REF:  0.00, VEL_RAW: -11.52, VEL_AVG: -17.39, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.6391537 N:   89, t: 28193274, dt: 5324, ENC_DEG: 76.82, REF:  0.00, VEL_RAW: -16.51, VEL_AVG: -16.93, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.6987507 N:   90, t: 28196258, dt: 2984, ENC_DEG: 76.77, REF:  0.00, VEL_RAW: -14.73, VEL_AVG: -17.80, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7044265 N:   97, t: 28221948, dt: 2784, ENC_DEG: 76.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -12.33, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7105885 N:   99, t: 28303766, dt: 2776, ENC_DEG: 75.13, REF:  0.00, VEL_RAW: -7.92, VEL_AVG: -12.84, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7523053 N:  101, t: 28367755, dt: 2768, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -39.70, VEL_AVG: -15.01, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.758943  N:  102, t: 28477270, dt: 109515, ENC_DEG: 72.55, REF:  0.00, VEL_RAW: -14.45, VEL_AVG: -14.99, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7643147 N:  103, t: 28480252, dt: 2982, ENC_DEG: 72.49, REF:  0.00, VEL_RAW: -22.11, VEL_AVG: -15.12, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.770302  N:  105, t: 28488555, dt: 2964, ENC_DEG: 72.31, REF:  0.00, VEL_RAW: -14.82, VEL_AVG: -17.60, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.776746  N:  109, t: 28507417, dt: 7772, ENC_DEG: 72.03, REF:  0.00, VEL_RAW: -14.14, VEL_AVG: -18.45, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7832012 N:  110, t: 28541436, dt: 34019, ENC_DEG: 71.59, REF:  0.00, VEL_RAW: -12.92, VEL_AVG: -18.16, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7882183 N:  111, t: 28544401, dt: 2965, ENC_DEG: 71.61, REF:  0.00, VEL_RAW:  7.41, VEL_AVG: -16.89, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.7942023 N:  112, t: 28549654, dt: 5253, ENC_DEG: 71.52, REF:  0.00, VEL_RAW: -16.73, VEL_AVG: -17.09, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
