1746526904.8502452 N:   63, t: 41032365, dt: 17072, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.25, I: -11.24, D: -0.11, VEL_OUT: -26.09, MS_MPC: 28505.33, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.61, gy: -0.58, gz: -0.12, OX: -0.01
1746526904.908317  N:   64, t: 41054001, dt: 21636, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -11.32, D:  0.17, VEL_OUT: -21.68, MS_MPC: 28505.33, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.61, gy: -1.01, gz:  0.18, OX: -0.03
1746526904.9133666 N:   65, t: 41072475, dt: 18474, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.29, I: -11.61, D: -0.21, VEL_OUT: -28.25, MS_MPC: 28507.87, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.61, gy: -0.52, gz:  0.67, OX:  0.20
1746526904.9653852 N:   66, t: 41090838, dt: 18363, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.24, I: -11.85, D:  0.05, VEL_OUT: -25.51, MS_MPC: 28502.79, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.70, gz:  0.18, OX:  0.02
1746526904.970617  N:   67, t: 41114028, dt: 23190, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.42, I: -12.26, D: -0.18, VEL_OUT: -30.48, MS_MPC: 28505.33, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.55, gy: -0.40, gz: -0.18, OX: -0.03
1746526904.976642  N:   68, t: 41135063, dt: 21035, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.28, I: -12.55, D:  0.13, VEL_OUT: -26.64, MS_MPC: 28500.25, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy: -0.21, gz: -0.43, OX: -0.02
1746526904.9826605 N:   69, t: 41154005, dt: 18942, ENC_DEG: 40.10, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.07, I: -12.61, D:  0.22, VEL_OUT: -23.68, MS_MPC: 28497.71, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.61, gy: -0.27, gz: -0.43, OX:  0.02
1746526904.9892337 N:   71, t: 41191402, dt: 17141, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.05, I: -12.78, D:  0.07, VEL_OUT: -25.38, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.15, gz: -0.67, OX: -0.03
1746526905.030898  N:   72, t: 41210982, dt: 19580, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.32, I: -13.11, D: -0.28, VEL_OUT: -32.21, MS_MPC: 28502.79, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.55, gy: -0.40, gz: -0.12, OX:  0.10
1746526905.0368783 N:   73, t: 41235736, dt: 24754, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  0.89, VEL_AVG:  0.29, I: -13.40, D:  0.03, VEL_OUT: -29.36, MS_MPC: 28505.33, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.73, gy:  0.03, gz: -0.06, OX: -0.02
1746526905.0418658 N:   74, t: 41253923, dt: 18187, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.05, I: -13.44, D:  0.24, VEL_OUT: -24.93, MS_MPC: 28502.79, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.98, gy:  0.03, gz:  0.00, OX:  0.03
1746526905.0901988 N:   75, t: 41270750, dt: 16827, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -1.31, VEL_AVG: -0.26, I: -13.71, D: -0.22, VEL_OUT: -32.21, MS_MPC: 28500.25, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.61, gy: -0.15, gz: -0.18, OX: -0.02
