1746526683.9987712 N:   97, t: 25565228, dt: 18675, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  4.71, VEL_AVG:  0.13, I: -16.22, D:  0.24, VEL_OUT: -31.33, MS_MPC: 22081.18, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.24, gz:  1.13, OX:  0.05
1746526684.0050442 N:   98, t: 25583251, dt: 18023, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -16.35, D:  0.00, VEL_OUT: -33.94, MS_MPC: 22081.18, ax: -0.00, ay:  0.01, az:  0.99, gx: -0.12, gy: -0.55, gz:  0.70, OX:  0.08
1746526684.011511  N:   99, t: 25605949, dt: 22698, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -16.45, D:  0.02, VEL_OUT: -33.69, MS_MPC: 22081.18, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.76, OX: -0.05
1746526684.1088405 N:  100, t: 25622842, dt: 16893, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.30, VEL_AVG: -0.21, I: -16.66, D: -0.11, VEL_OUT: -36.51, MS_MPC: 22076.06, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.89, OX: -0.09
1746526684.113847  N:  101, t: 25643964, dt: 21122, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.06, I: -16.72, D:  0.15, VEL_OUT: -32.52, MS_MPC: 22086.31, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.12, gy: -0.37, gz: -0.82, OX: -0.04
1746526684.1636937 N:  102, t: 25668398, dt: 24434, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.80, VEL_AVG:  0.05, I: -16.77, D:  0.01, VEL_OUT: -34.03, MS_MPC: 22076.06, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.37, gy: -0.24, gz: -0.64, OX: -0.01
1746526684.2267873 N:  103, t: 25684781, dt: 16383, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.68, VEL_AVG: -0.11, I: -16.88, D: -0.05, VEL_OUT: -35.33, MS_MPC: 22086.31, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.37, gy:  0.18, gz: -0.21, OX: -0.02
1746526684.2327511 N:  105, t: 25727510, dt: 24614, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -2.68, VEL_AVG:  0.02, I: -17.15, D:  0.22, VEL_OUT: -32.30, MS_MPC: 22065.81, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.61, gz:  0.15, OX:  0.01
1746526684.2387693 N:  106, t: 25745985, dt: 18475, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  3.57, VEL_AVG:  0.44, I: -17.59, D: -0.42, VEL_OUT: -43.77, MS_MPC: 22081.18, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.49, gz: -0.09, OX:  0.02
1746526684.244703  N:  110, t: 25822949, dt: 19157, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.24, I: -18.45, D: -0.10, VEL_OUT: -40.24, MS_MPC: 22086.31, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.73, gz: -0.03, OX: -0.01
