1746526026.756518  N:   76, t: 90559657, dt: 16114, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -1.36, VEL_AVG: -0.16, I: -11.09, D: -0.11, VEL_OUT: -24.93, MS_MPC: 26735.11, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.31, gy:  0.24, gz:  1.98, OX:  0.02
1746526026.8595438 N:   78, t: 90600007, dt: 20036, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -2.19, VEL_AVG:  0.04, I: -11.20, D:  0.03, VEL_OUT: -22.49, MS_MPC: 26742.45, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.85, gy:  0.31, gz:  2.35, OX:  0.05
1746526026.8657982 N:   79, t: 90622909, dt: 22902, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -1.92, VEL_AVG: -0.12, I: -11.32, D: -0.08, VEL_OUT: -24.63, MS_MPC: 26735.11, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.43, gy:  0.37, gz:  1.74, OX:  0.06
1746526026.8715346 N:   80, t: 90641004, dt: 18095, ENC_DEG: 27.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -11.44, D:  0.00, VEL_OUT: -24.08, MS_MPC: 26735.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.73, gz:  1.37, OX: -0.03
1746526026.8785148 N:   81, t: 90659438, dt: 18434, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  1.19, VEL_AVG: -0.17, I: -11.61, D: -0.05, VEL_OUT: -25.52, MS_MPC: 26738.78, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  1.16, gz:  0.82, OX:  0.05
1746526026.8842216 N:   84, t: 90719566, dt: 18830, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.10, I: -12.17, D:  0.18, VEL_OUT: -23.57, MS_MPC: 26738.78, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.67, gy:  0.43, gz: -1.37, OX: -0.01
1746526026.9191892 N:   85, t: 90742638, dt: 23072, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.90, VEL_AVG:  0.06, I: -12.23, D:  0.05, VEL_OUT: -24.57, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.24, gz: -1.07, OX: -0.06
1746526026.9789298 N:   86, t: 90760818, dt: 18180, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.05, I: -12.28, D:  0.01, VEL_OUT: -24.97, MS_MPC: 26738.78, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.55, gy:  0.18, gz: -0.82, OX: -0.11
1746526026.9856613 N:   87, t: 90779503, dt: 18685, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -12.33, D:  0.00, VEL_OUT: -25.14, MS_MPC: 26738.78, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.49, gy: -0.06, gz: -0.15, OX:  0.00
1746526026.992027  N:   88, t: 90802464, dt: 22961, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.91, VEL_AVG:  0.22, I: -12.55, D: -0.18, VEL_OUT: -29.09, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.18, gz:  0.15, OX:  0.08
1746526026.9980338 N:   89, t: 90821794, dt: 19330, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -12.69, D:  0.09, VEL_OUT: -25.86, MS_MPC: 26746.12, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.31, gz:  0.34, OX:  0.03
1746526027.039162  N:   90, t: 90840260, dt: 18466, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -12.73, D:  0.09, VEL_OUT: -25.03, MS_MPC: 26746.12, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.15, OX: -0.02
1746526027.045298  N:   91, t: 90866158, dt: 25898, ENC_DEG: 27.84, REF:  0.00, VEL_RAW:  0.85, VEL_AVG:  0.28, I: -13.01, D: -0.23, VEL_OUT: -31.10, MS_MPC: 26749.78, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.31, gz: -0.27, OX:  0.02
1746526027.051286  N:   92, t: 90882150, dt: 15992, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -2.75, VEL_AVG:  0.05, I: -13.06, D:  0.23, VEL_OUT: -24.31, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.24, gz: -0.09, OX: -0.01
1746526027.0993888 N:   93, t: 90899813, dt: 17663, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -13.11, D: -0.00, VEL_OUT: -26.77, MS_MPC: 26742.45, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy:  0.00, gz: -0.27, OX: -0.01
1746526027.1551232 N:   94, t: 90925152, dt: 25339, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.02, I: -13.13, D:  0.03, VEL_OUT: -26.17, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.06, gz: -0.52, OX: -0.04
1746526027.2179573 N:   95, t: 90945195, dt: 20043, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.04, I: -13.17, D: -0.02, VEL_OUT: -26.86, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.67, gy: -0.18, gz: -0.27, OX: -0.02
