1746527979.2989933 N:   88, t: 26295173, dt: 19062, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.00, I: -13.92, D:  0.16, VEL_OUT: -26.25, MS_MPC: 21988.80, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.12, gy:  1.04, gz:  0.52, OX:  0.09
1746527979.346555  N:   89, t: 26316577, dt: 21404, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.07, I: -13.99, D: -0.07, VEL_OUT: -29.39, MS_MPC: 21999.09, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  1.16, gz:  0.21, OX: -0.02
1746527979.3522866 N:   90, t: 26334914, dt: 18337, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -14.00, D:  0.07, VEL_OUT: -27.33, MS_MPC: 21999.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.67, gz: -0.09, OX: -0.04
1746527979.3582902 N:   91, t: 26356980, dt: 22066, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.00, VEL_AVG:  0.15, I: -14.15, D: -0.15, VEL_OUT: -31.33, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.55, gy:  0.61, gz: -0.15, OX: -0.06
1746527979.402823  N:   92, t: 26376398, dt: 19418, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.02, I: -14.17, D:  0.13, VEL_OUT: -27.24, MS_MPC: 21999.09, ax:  0.02, ay: -0.02, az:  1.00, gx:  0.24, gy:  0.73, gz:  0.09, OX: -0.02
1746527979.4092643 N:   93, t: 26395670, dt: 19272, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.11, I: -14.28, D: -0.09, VEL_OUT: -30.59, MS_MPC: 21988.80, ax:  0.02, ay: -0.01, az:  0.99, gx:  0.31, gy:  0.73, gz:  0.34, OX:  0.10
1746527979.5269601 N:   94, t: 26415569, dt: 19899, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.09, I: -14.38, D:  0.02, VEL_OUT: -29.46, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  0.99, gx:  0.12, gy:  0.67, gz:  0.34, OX:  0.00
1746527979.5328    N:   95, t: 26436050, dt: 20481, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.15, VEL_AVG: -0.01, I: -14.38, D:  0.08, VEL_OUT: -28.00, MS_MPC: 22004.22, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.24, gz:  0.40, OX:  0.01
1746527979.538786  N:   96, t: 26461643, dt: 25593, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -2.58, VEL_AVG: -0.07, I: -14.46, D: -0.07, VEL_OUT: -30.30, MS_MPC: 21988.80, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.31, gz:  0.52, OX: -0.00
1746527979.5457633 N:   97, t: 26476844, dt: 15201, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.45, VEL_AVG:  0.27, I: -14.73, D: -0.20, VEL_OUT: -34.20, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.06, gz:  0.52, OX:  0.00
1746527979.5517893 N:  102, t: 26575887, dt: 20543, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.10, I: -15.44, D: -0.09, VEL_OUT: -32.73, MS_MPC: 21988.80, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.46, OX:  0.00
1746527979.5874836 N:  103, t: 26596151, dt: 20264, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.08, I: -15.52, D:  0.02, VEL_OUT: -31.64, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.12, gz: -0.52, OX: -0.01
1746527979.5941517 N:  104, t: 26614744, dt: 18593, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.36, VEL_AVG:  0.18, I: -15.70, D: -0.10, VEL_OUT: -34.23, MS_MPC: 22004.22, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.06, gz: -0.52, OX:  0.00
1746527979.6426673 N:  105, t: 26635211, dt: 20467, ENC_DEG:  4.42, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.28, I: -15.98, D: -0.10, VEL_OUT: -35.78, MS_MPC: 21999.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.06, gz: -0.40, OX:  0.01
1746527979.7040915 N:  106, t: 26656398, dt: 21187, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -3.11, VEL_AVG: -0.07, I: -16.05, D:  0.21, VEL_OUT: -30.69, MS_MPC: 21983.66, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.73, gy:  0.49, gz: -0.58, OX:  0.00
1746527979.7101362 N:  107, t: 26674813, dt: 18415, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -16.30, D: -0.18, VEL_OUT: -36.88, MS_MPC: 21983.66, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.73, gy:  0.43, gz: -0.46, OX:  0.02
1746527979.7629604 N:  108, t: 26699256, dt: 24443, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.80, VEL_AVG:  0.12, I: -16.41, D:  0.13, VEL_OUT: -32.65, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.85, gy:  0.43, gz: -0.70, OX: -0.03
1746527979.769055  N:  109, t: 26716564, dt: 17308, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.11, I: -16.53, D:  0.00, VEL_OUT: -34.11, MS_MPC: 21988.80, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.85, gy:  0.18, gz: -0.52, OX: -0.06
1746527979.7740877 N:  111, t: 26759094, dt: 23412, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.82, VEL_AVG: -0.18, I: -17.19, D:  0.32, VEL_OUT: -32.98, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.24, gz:  0.34, OX:  0.04
