1746010296.0851488 N:   73, t: 77582148, dt: 22658, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  2.91, VEL_AVG:  0.05, I: -11.63, D:  0.37, VEL_OUT: -20.06, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz: -0.24, OX: -0.02
1746010296.0911248 N:   74, t: 77600276, dt: 18128, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -11.88, D: -0.20, VEL_OUT: -28.33, MS_MPC: 25270.79, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.12, gz: -0.24, OX: -0.04
1746010296.1982107 N:   75, t: 77619260, dt: 18984, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.02, I: -11.90, D:  0.24, VEL_OUT: -21.62, MS_MPC: 25290.24, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.18, gz:  0.24, OX:  0.04
1746010296.2534065 N:   76, t: 77641704, dt: 22444, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.96, VEL_AVG: -0.07, I: -11.97, D: -0.05, VEL_OUT: -25.09, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -0.12, OX:  0.01
1746010296.259391  N:   77, t: 77659027, dt: 17323, ENC_DEG: 82.46, REF:  0.00, VEL_RAW: -3.81, VEL_AVG: -0.29, I: -12.26, D: -0.23, VEL_OUT: -29.75, MS_MPC: 25299.95, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.67, OX: -0.04
1746010296.265383  N:   78, t: 77681717, dt: 22690, ENC_DEG: 82.57, REF:  0.00, VEL_RAW:  4.84, VEL_AVG:  0.01, I: -12.27, D:  0.28, VEL_OUT: -21.79, MS_MPC: 25251.28, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.24, gz: -0.24, OX: -0.01
1746010296.2723563 N:   80, t: 77724287, dt: 25415, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -0.86, VEL_AVG: -0.17, I: -12.75, D:  0.14, VEL_OUT: -25.81, MS_MPC: 25290.24, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.55, gz:  0.49, OX: -0.00
1746010296.3133504 N:   83, t: 77782690, dt: 23455, ENC_DEG: 82.49, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.12, I: -13.59, D:  0.44, VEL_OUT: -23.93, MS_MPC: 25290.24, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.79, gz:  1.16, OX:  0.03
1746010296.3193336 N:   84, t: 77804157, dt: 21467, ENC_DEG: 82.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -13.71, D:  0.00, VEL_OUT: -28.57, MS_MPC: 25290.24, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.98, gz:  0.55, OX: -0.03
1746010296.3263152 N:   85, t: 77821247, dt: 17090, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.25, I: -13.96, D: -0.14, VEL_OUT: -31.78, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.85, gz:  0.24, OX: -0.04
1746010296.331301  N:   86, t: 77841378, dt: 20131, ENC_DEG: 82.44, REF:  0.00, VEL_RAW: -3.27, VEL_AVG: -0.52, I: -14.48, D: -0.27, VEL_OUT: -36.93, MS_MPC: 25309.62, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy:  0.43, gz:  0.24, OX:  0.03
1746010296.4968088 N:   87, t: 77860211, dt: 18833, ENC_DEG: 82.49, REF:  0.00, VEL_RAW:  2.33, VEL_AVG: -0.14, I: -14.62, D:  0.39, VEL_OUT: -26.72, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  0.24, OX:  0.01
1746010296.5017972 N:   88, t: 77883585, dt: 23374, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.22, I: -14.84, D: -0.08, VEL_OUT: -32.74, MS_MPC: 25280.52, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.31, gz:  0.43, OX:  0.06
1746010296.5516407 N:   89, t: 77900044, dt: 16459, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -1.33, VEL_AVG: -0.02, I: -14.85, D:  0.21, VEL_OUT: -27.80, MS_MPC: 25290.24, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.18, gz: -0.18, OX:  0.03
1746010296.5576317 N:   90, t: 77924696, dt: 24652, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.89, VEL_AVG: -0.34, I: -15.20, D: -0.33, VEL_OUT: -37.13, MS_MPC: 25280.52, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.12, gz: -0.12, OX: -0.01
1746010296.5633633 N:   94, t: 78004711, dt: 24439, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.12, I: -15.56, D: -0.06, VEL_OUT: -32.87, MS_MPC: 25280.52, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.37, gz:  0.06, OX:  0.01
1746010296.5693097 N:   95, t: 78043706, dt: 38995, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -0.56, VEL_AVG: -0.01, I: -15.57, D:  0.11, VEL_OUT: -30.15, MS_MPC: 25290.24, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.37, gz:  0.31, OX: -0.01
