1746010456.036953  N:   84, t: 30846619, dt: 49331, ENC_DEG: 80.05, REF:  0.00, VEL_RAW: -15.14, VEL_AVG: -16.64, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0424867 N:   85, t: 30849629, dt: 3010, ENC_DEG: 80.00, REF:  0.00, VEL_RAW: -14.60, VEL_AVG: -17.38, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0485497 N:   87, t: 30857853, dt: 2961, ENC_DEG: 79.74, REF:  0.00, VEL_RAW: -37.20, VEL_AVG: -20.39, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.054532  N:   88, t: 30865795, dt: 7942, ENC_DEG: 79.67, REF:  0.00, VEL_RAW: -8.30, VEL_AVG: -19.23, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0605166 N:   93, t: 30887873, dt: 3797, ENC_DEG: 79.19, REF:  0.00, VEL_RAW: -28.93, VEL_AVG: -19.88, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0665004 N:   94, t: 30966613, dt: 78740, ENC_DEG: 78.00, REF:  0.00, VEL_RAW: -15.07, VEL_AVG: -18.50, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.072483  N:   95, t: 30969601, dt: 2988, ENC_DEG: 77.98, REF:  0.00, VEL_RAW: -7.35, VEL_AVG: -17.77, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0784883 N:   96, t: 30977166, dt: 7565, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -17.43, VEL_AVG: -17.96, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0838532 N:   97, t: 30980072, dt: 2906, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -7.56, VEL_AVG: -17.37, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0898144 N:   98, t: 30984329, dt: 4257, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: 10.32, VEL_AVG: -14.08, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.0967782 N:  100, t: 30992671, dt: 3104, ENC_DEG: 77.56, REF:  0.00, VEL_RAW: -71.57, VEL_AVG: -17.64, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.215288  N:  101, t: 30999014, dt: 6343, ENC_DEG: 77.59, REF:  0.00, VEL_RAW:  3.46, VEL_AVG: -14.80, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.2756155 N:  102, t: 31006933, dt: 7919, ENC_DEG: 77.50, REF:  0.00, VEL_RAW: -11.10, VEL_AVG: -17.06, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
