1746003088.7055473 N:   54, t: 30495413, dt: 17593, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  1.25, VEL_AVG: -0.06, I: -8.42, D:  0.10, VEL_OUT: -16.41, MS_MPC: 24443.73, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.09, gy: -0.24, gz:  0.49, OX: -0.02
1746003088.7113898 N:   55, t: 30513378, dt: 17965, ENC_DEG: 15.58, REF:  0.00, VEL_RAW:  3.67, VEL_AVG:  0.14, I: -8.56, D: -0.08, VEL_OUT: -19.26, MS_MPC: 24457.29, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.09, gy: -0.31, gz:  0.61, OX:  0.02
1746003088.7173626 N:   56, t: 30533737, dt: 20359, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -4.32, VEL_AVG: -0.13, I: -8.68, D:  0.01, VEL_OUT: -18.52, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.15, gy: -0.49, gz:  0.55, OX:  0.04
1746003088.7233365 N:   57, t: 30553292, dt: 19555, ENC_DEG: 15.45, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.31, I: -9.00, D: -0.19, VEL_OUT: -23.00, MS_MPC: 24430.15, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.46, gy: -0.37, gz:  0.43, OX: -0.01
1746003088.7650375 N:   58, t: 30577853, dt: 24561, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  3.58, VEL_AVG: -0.10, I: -9.10, D:  0.21, VEL_OUT: -17.07, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.76, gy: -0.49, gz:  0.43, OX:  0.00
1746003088.772106  N:   59, t: 30598204, dt: 20351, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -9.29, D: -0.09, VEL_OUT: -21.48, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.07, gy: -0.06, gz:  0.31, OX:  0.02
1746003088.8837242 N:   60, t: 30616117, dt: 17913, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -1.23, VEL_AVG: -0.12, I: -9.42, D:  0.07, VEL_OUT: -19.33, MS_MPC: 24443.73, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.25, gy:  0.00, gz:  0.43, OX: -0.03
1746003088.8897207 N:   61, t: 30633318, dt: 17201, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -9.44, D:  0.10, VEL_OUT: -18.11, MS_MPC: 24443.73, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.25, gy:  0.00, gz:  0.18, OX: -0.07
1746003088.8966534 N:   62, t: 30654496, dt: 21178, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.08, I: -9.52, D: -0.06, VEL_OUT: -20.45, MS_MPC: 24448.24, ax:  0.00, ay:  0.00, az:  1.00, gx:  1.25, gy: -0.06, gz:  0.61, OX: -0.02
1746003088.9441411 N:   63, t: 30674716, dt: 20220, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -9.69, D: -0.09, VEL_OUT: -21.98, MS_MPC: 24448.24, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.95, gy: -0.12, gz:  0.61, OX:  0.01
1746003088.9505985 N:   66, t: 30733736, dt: 18549, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -4.74, VEL_AVG: -0.18, I: -10.43, D:  0.14, VEL_OUT: -21.31, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.40, gy: -0.12, gz: -0.06, OX: -0.01
1746003088.9565213 N:   67, t: 30754852, dt: 21116, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.49, I: -10.92, D: -0.31, VEL_OUT: -29.77, MS_MPC: 24439.20, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.18, gz:  0.06, OX: -0.01
1746003088.9624996 N:   68, t: 30775122, dt: 20270, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.04, I: -10.96, D:  0.45, VEL_OUT: -17.78, MS_MPC: 24443.73, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.15, gy: -0.06, gz:  0.00, OX: -0.02
1746003088.9695795 N:   69, t: 30796627, dt: 21505, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -11.11, D: -0.11, VEL_OUT: -24.85, MS_MPC: 24443.73, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.09, gy: -0.18, gz:  0.24, OX: -0.01
1746003089.0612545 N:   70, t: 30816093, dt: 19466, ENC_DEG: 15.47, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.34, I: -11.44, D: -0.19, VEL_OUT: -28.11, MS_MPC: 24434.68, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.03, gy:  0.06, gz:  0.73, OX:  0.03
