1745417321.544938  N:   67, t: 44325072, dt: 17639, ENC_DEG: 29.22, REF:  0.00, VEL_RAW:  1.25, VEL_AVG: -0.25, I: -11.26, D:  0.19, VEL_OUT: -23.16, MS_MPC: 26977.19, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.37, gz:  0.24, OX:  0.03
1745417321.5512376 N:   68, t: 44349605, dt: 24533, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  2.69, VEL_AVG:  0.07, I: -11.33, D:  0.18, VEL_OUT: -21.55, MS_MPC: 26987.84, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.55, gy:  0.37, gz:  0.18, OX: -0.01
1745417321.5572069 N:   69, t: 44364178, dt: 14573, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -3.02, VEL_AVG: -0.08, I: -11.41, D: -0.01, VEL_OUT: -23.80, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.49, gz:  0.24, OX: -0.01
1745417321.6605737 N:   70, t: 44388121, dt: 23943, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.92, VEL_AVG: -0.18, I: -11.59, D: -0.09, VEL_OUT: -25.84, MS_MPC: 26984.29, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.12, gz:  0.24, OX: -0.02
1745417321.6665528 N:   71, t: 44405479, dt: 17358, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -2.53, VEL_AVG: -0.46, I: -12.05, D: -0.29, VEL_OUT: -31.63, MS_MPC: 26977.19, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.31, OX:  0.00
1745417321.6728966 N:   72, t: 44426044, dt: 20565, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.12, I: -12.17, D:  0.34, VEL_OUT: -22.15, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.31, gz:  0.49, OX:  0.06
1745417321.6788805 N:   73, t: 44445565, dt: 19521, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.03, I: -12.20, D:  0.09, VEL_OUT: -23.75, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy:  0.31, gz:  0.18, OX:  0.00
1745417321.6849108 N:   75, t: 44485850, dt: 17260, ENC_DEG: 29.31, REF:  0.00, VEL_RAW:  3.82, VEL_AVG:  0.28, I: -12.78, D:  0.02, VEL_OUT: -28.16, MS_MPC: 26991.39, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.85, gy:  0.06, gz:  0.12, OX:  0.01
1745417321.726259  N:   76, t: 44505244, dt: 19394, ENC_DEG: 29.27, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.09, I: -12.87, D:  0.19, VEL_OUT: -24.75, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.92, gy:  0.12, gz:  0.18, OX:  0.00
1745417321.732228  N:   77, t: 44525789, dt: 20545, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.09, I: -12.96, D:  0.00, VEL_OUT: -26.78, MS_MPC: 26977.19, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.67, gy:  0.31, gz:  0.00, OX: -0.02
1745417321.7382474 N:   78, t: 44546432, dt: 20643, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.08, I: -13.04, D:  0.00, VEL_OUT: -26.90, MS_MPC: 26980.74, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.43, gz:  0.06, OX:  0.01
