1745417420.311886  N:   71, t: 33613411, dt: 18031, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -13.31, D: -0.10, VEL_OUT: -29.07, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.24, gz:  0.15, OX: -0.02
1745417420.3188717 N:   72, t: 33630561, dt: 17150, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.04, I: -13.35, D:  0.11, VEL_OUT: -26.07, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.24, gz: -0.09, OX:  0.00
1745417420.3678398 N:   73, t: 33654570, dt: 24009, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.92, VEL_AVG:  0.12, I: -13.47, D: -0.08, VEL_OUT: -28.90, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz:  0.09, OX:  0.00
1745417420.373828  N:   74, t: 33670947, dt: 16377, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  1.34, VEL_AVG:  0.15, I: -13.62, D: -0.03, VEL_OUT: -29.01, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.31, gz: -0.09, OX:  0.02
1745417420.3793087 N:   75, t: 33690434, dt: 19487, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -13.77, D:  0.00, VEL_OUT: -29.02, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.12, gz: -0.21, OX:  0.00
1745417420.4258249 N:   76, t: 33711322, dt: 20888, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.24, I: -14.01, D: -0.09, VEL_OUT: -31.31, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.24, gz: -0.27, OX: -0.00
1745417420.4318109 N:   77, t: 33733943, dt: 22621, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.09, I: -14.10, D:  0.15, VEL_OUT: -27.69, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.40, OX: -0.03
1745417420.438814  N:   78, t: 33751292, dt: 17349, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  2.53, VEL_AVG:  0.12, I: -14.22, D: -0.02, VEL_OUT: -29.85, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.09, OX: -0.04
1745417420.4882016 N:   79, t: 33771572, dt: 20280, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -14.34, D:  0.00, VEL_OUT: -29.85, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.21, OX: -0.01
1745417420.493185  N:   80, t: 33795952, dt: 24380, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.05, I: -14.38, D:  0.07, VEL_OUT: -28.51, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.49, gz:  0.27, OX:  0.01
